tema,tipo_institucional,total
Registro audiovisual em catálogo,National archival aggregator,44
Digitalização e acesso,National archival aggregator,21
Acervo e patrimônio,National archival aggregator,7
História e pesquisa,National archival aggregator,2
Comunicação institucional,National archival aggregator,1
