tema,tipo_institucional,total
Filme amador e memória local,Institutional film and audiovisual archive,20
Arquivo audiovisual regional,Institutional film and audiovisual archive,11
"Documentário, cotidiano e memória local",Institutional film and audiovisual archive,7
Ficção cinematográfica,Institutional film and audiovisual archive,1
