tema,tipo_institucional,total
"Cinejornal, atualidades e história pública",National film archive with public Filmarchiv ON streaming surface,174
Preservação e memória fílmica,National film archive with public Filmarchiv ON streaming surface,161
"Cotidiano, território e memória local",National film archive with public Filmarchiv ON streaming surface,153
Ficção cinematográfica,National film archive with public Filmarchiv ON streaming surface,32
Patrimônio fílmico austríaco,National film archive with public Filmarchiv ON streaming surface,9
