tema,plataforma,total
Divulgação de serviços e projetos,Ninateka,1032
Comunicação institucional,Ninateka,841
História e pesquisa,Ninateka,515
Música e performance,Ninateka,115
"Memória, narrativa e testemunho",Ninateka,78
Apresentação institucional,Ninateka,65
Digitalização e acesso,Ninateka,40
Formação e mediação,Ninateka,35
Exposições e eventos,Ninateka,24
Visita e descoberta do arquivo,Ninateka,12
Preservação e conservação,Ninateka,9
