tema,plataforma,total
Esporte e cultura física,Vimeo,92
Patrimônio cinematográfico regional,Vimeo,22
"Cotidiano, território e memória local",Vimeo,21
Preservação e conservação,Vimeo,7
"Guerra, memória política e história",Vimeo,6
Cinema basco e memória cultural,Vimeo,1
