tema,plataforma,total
Documentário e registro histórico,Vimeo,16
Registro audiovisual em cinemateca digital,Cinemateca Digital,16
"Território, cidade e patrimônio",Cinemateca Digital,7
"Vida pública, política e história",Cinemateca Digital,6
"Território, cidade e patrimônio",Vimeo,2
"Vida pública, política e história",Vimeo,2
Esporte e cultura física,Cinemateca Digital,1
