tema,plataforma,total
"Trabalho, indústria e infraestrutura",CNAsearch,32
Programação televisiva e memória da mídia,CNAsearch,12
Catálogo audiovisual nacional,CNAsearch,11
"Vida pública, política e história",CNAsearch,11
"Território, cidade e memória nacional",CNAsearch,7
Esporte e cultura física,CNAsearch,6
