institution,slug,country,continent,repository_code,archive_type,filmoteca_catalunya_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Filmoteca de Catalunya,filmoteca-catalunya,Spain,Europe,ES-CT-FILMOTECA-CATALUNYA,Film archive with restricted institutional catalogue and public PLATFO FILMO subset,https://www.filmoteca.cat/web/es/coleccion-filmica,True,True,https://filmo.platfo.es/pages/home,https://galgo-filmoteca.galgo.tv/catalogs,ok,200,0,0,Catálogos públicos PLATFO detectados: 2.,
Filmoteca de Catalunya,filmoteca-catalunya,Spain,Europe,ES-CT-FILMOTECA-CATALUNYA,Film archive with restricted institutional catalogue and public PLATFO FILMO subset,https://www.filmoteca.cat/web/es/coleccion-filmica,True,True,https://filmo.platfo.es/pages/home,https://galgo-filmoteca.galgo.tv/search/filters?image-format=webp,ok,200,1,1,Filtro oficial de titularidade localizado para Filmoteca de Catalunya: 205985.,
Filmoteca de Catalunya,filmoteca-catalunya,Spain,Europe,ES-CT-FILMOTECA-CATALUNYA,Film archive with restricted institutional catalogue and public PLATFO FILMO subset,https://www.filmoteca.cat/web/es/coleccion-filmica,True,True,https://filmo.platfo.es/pages/home,https://galgo-filmoteca.galgo.tv/container?containerType=Collection&version=2&image-format=webp&size=10000&page=1,ok,200,679,679,"Rota de coleções PLATFO usada como controle contextual; o corpus individual é filtrado por titularidade Filmoteca de Catalunya, não pela totalidade da PLATFO.",
Filmoteca de Catalunya,filmoteca-catalunya,Spain,Europe,ES-CT-FILMOTECA-CATALUNYA,Film archive with restricted institutional catalogue and public PLATFO FILMO subset,https://www.filmoteca.cat/web/es/coleccion-filmica,True,True,https://filmo.platfo.es/pages/home,https://galgo-filmoteca.galgo.tv/search?copyright=205985&version=2&image-format=webp&size=10000&page=1,ok,200,10,10,Busca pública PLATFO por titularidade Filmoteca de Catalunya; registros com titularidade divergente são descartados no pós-filtro.,
