institution,slug,country,continent,repository_code,archive_type,filmarchiv_austria_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Filmarchiv Austria,filmarchiv-austria,Austria,Europe,AT-FILMARCHIV-AUSTRIA,National film archive with public Filmarchiv ON streaming surface,https://www.filmarchiv.at/,True,True,https://www.filmarchiv.at/de/filmarchiv-on,https://www.filmarchiv.at/de/filmarchiv-on/video/f_033Nt2KL9SCGHSBhaS1vjB,ok,200,1,1,Ficha pública de vídeo Filmarchiv ON coletada para metadados descritivos.,
Filmarchiv Austria,filmarchiv-austria,Austria,Europe,AT-FILMARCHIV-AUSTRIA,National film archive with public Filmarchiv ON streaming surface,https://www.filmarchiv.at/,True,True,https://www.filmarchiv.at/de/filmarchiv-on,https://www.filmarchiv.at/de/filmarchiv-on/video/f_033Nt6OarMdEAYenr2DOxH,ok,200,1,1,Ficha pública de vídeo Filmarchiv ON coletada para metadados descritivos.,
Filmarchiv Austria,filmarchiv-austria,Austria,Europe,AT-FILMARCHIV-AUSTRIA,National film archive with public Filmarchiv ON streaming surface,https://www.filmarchiv.at/,True,True,https://www.filmarchiv.at/de/filmarchiv-on,https://www.filmarchiv.at/de/filmarchiv-on/video/f_033NtDnFl4CJo3yIPE8y0w,ok,200,1,1,Ficha pública de vídeo Filmarchiv ON coletada para metadados descritivos.,
Filmarchiv Austria,filmarchiv-austria,Austria,Europe,AT-FILMARCHIV-AUSTRIA,National film archive with public Filmarchiv ON streaming surface,https://www.filmarchiv.at/,True,True,https://www.filmarchiv.at/de/filmarchiv-on,https://www.filmarchiv.at/de/filmarchiv-on/video/f_033OQmNUCqF39W0fbuwbEa,ok,200,1,1,Ficha pública de vídeo Filmarchiv ON coletada para metadados descritivos.,
Filmarchiv Austria,filmarchiv-austria,Austria,Europe,AT-FILMARCHIV-AUSTRIA,National film archive with public Filmarchiv ON streaming surface,https://www.filmarchiv.at/,True,True,https://www.filmarchiv.at/de/filmarchiv-on,https://www.filmarchiv.at/de/filmarchiv-on/video/f_033OQvETF36ECm4LCFc20b,ok,200,1,1,Ficha pública de vídeo Filmarchiv ON coletada para metadados descritivos.,
Filmarchiv Austria,filmarchiv-austria,Austria,Europe,AT-FILMARCHIV-AUSTRIA,National film archive with public Filmarchiv ON streaming surface,https://www.filmarchiv.at/,True,True,https://www.filmarchiv.at/de/filmarchiv-on,https://www.filmarchiv.at/de/filmarchiv-on/video/f_033NJTA5RjcnchOnG5VaoT,ok,200,1,1,Ficha pública de vídeo Filmarchiv ON coletada para metadados descritivos.,
Filmarchiv Austria,filmarchiv-austria,Austria,Europe,AT-FILMARCHIV-AUSTRIA,National film archive with public Filmarchiv ON streaming surface,https://www.filmarchiv.at/,True,True,https://www.filmarchiv.at/de/filmarchiv-on,https://www.filmarchiv.at/de/filmarchiv-on/video/f_033NJZO1tD6PWlRt5ZhQD4,ok,200,1,1,Ficha pública de vídeo Filmarchiv ON coletada para metadados descritivos.,
Filmarchiv Austria,filmarchiv-austria,Austria,Europe,AT-FILMARCHIV-AUSTRIA,National film archive with public Filmarchiv ON streaming surface,https://www.filmarchiv.at/,True,True,https://www.filmarchiv.at/de/filmarchiv-on,https://www.filmarchiv.at/de/filmarchiv-on/video/f_033NJm8FOJmt85mm7PtSmF,ok,200,1,1,Ficha pública de vídeo Filmarchiv ON coletada para metadados descritivos.,
Filmarchiv Austria,filmarchiv-austria,Austria,Europe,AT-FILMARCHIV-AUSTRIA,National film archive with public Filmarchiv ON streaming surface,https://www.filmarchiv.at/,True,True,https://www.filmarchiv.at/de/filmarchiv-on,https://www.filmarchiv.at/de/filmarchiv-on/video/f_033NJr4nxtNcNDYBBFddpp,ok,200,1,1,Ficha pública de vídeo Filmarchiv ON coletada para metadados descritivos.,
Filmarchiv Austria,filmarchiv-austria,Austria,Europe,AT-FILMARCHIV-AUSTRIA,National film archive with public Filmarchiv ON streaming surface,https://www.filmarchiv.at/,True,True,https://www.filmarchiv.at/de/filmarchiv-on,https://www.filmarchiv.at/de/filmarchiv-on/video/f_033NsGwYtSjZxdtqeuosYZ,ok,200,1,1,Ficha pública de vídeo Filmarchiv ON coletada para metadados descritivos.,
