dataset,observation_key,snapshot_generated_at,source_status_date,raw_outputs_last_modified_at,analytic_outputs_last_modified_at,generated_by,institutions,institutions_with_website,institutions_with_video_links,video_links_total,videos_in_curatorial_catalog,visibility_categories,theme_categories,archive_type_categories,platforms_detected,countries_with_videos
dr,dr:2026-07-13T18:09:04Z,2026-07-13T18:09:05Z,,2026-07-13T18:09:04Z,2026-07-13T18:09:04Z,scripts/run_dr_pipeline.py,1,1,1,453,453,1,4,1,1,1
dr,dr:2026-07-13T18:12:07Z,2026-07-13T18:12:07Z,,2026-07-13T18:12:07Z,2026-07-13T18:12:06Z,scripts/run_dr_pipeline.py,1,1,1,453,453,1,4,1,1,1
