institution,slug,country,continent,repository_code,archive_type,far_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Fonds Audiovisuel de Recherche,fonds-audiovisuel-de-recherche,France,Europe,FR-FAR,Local audiovisual archive with public film catalog,https://far-asso.fr/,True,True,https://far.memoirefilmiquenouvelleaquitaine.fr/films,https://far.memoirefilmiquenouvelleaquitaine.fr/films/ile-d-oleron-dans-les-annees-1960-2,ok,200,1,1,"Ficha pública de filme MFNA/FAR com metadados e URL de vídeo MP4, sem baixar mídia.",
Fonds Audiovisuel de Recherche,fonds-audiovisuel-de-recherche,France,Europe,FR-FAR,Local audiovisual archive with public film catalog,https://far-asso.fr/,True,True,https://far.memoirefilmiquenouvelleaquitaine.fr/films,https://far.memoirefilmiquenouvelleaquitaine.fr/films/zoo-de-la-palmyre-dans-les-annees-1960,ok,200,1,1,"Ficha pública de filme MFNA/FAR com metadados e URL de vídeo MP4, sem baixar mídia.",
Fonds Audiovisuel de Recherche,fonds-audiovisuel-de-recherche,France,Europe,FR-FAR,Local audiovisual archive with public film catalog,https://far-asso.fr/,True,True,https://far.memoirefilmiquenouvelleaquitaine.fr/films,https://far.memoirefilmiquenouvelleaquitaine.fr/films/depart-de-vacance-dans-les-annees-1960-1970-2,ok,200,1,1,"Ficha pública de filme MFNA/FAR com metadados e URL de vídeo MP4, sem baixar mídia.",
Fonds Audiovisuel de Recherche,fonds-audiovisuel-de-recherche,France,Europe,FR-FAR,Local audiovisual archive with public film catalog,https://far-asso.fr/,True,True,https://far.memoirefilmiquenouvelleaquitaine.fr/films,https://far.memoirefilmiquenouvelleaquitaine.fr/films/pique-nique-plage-et-peche-a-royan-dans-les-annees-1960,ok,200,1,1,"Ficha pública de filme MFNA/FAR com metadados e URL de vídeo MP4, sem baixar mídia.",
Fonds Audiovisuel de Recherche,fonds-audiovisuel-de-recherche,France,Europe,FR-FAR,Local audiovisual archive with public film catalog,https://far-asso.fr/,True,True,https://far.memoirefilmiquenouvelleaquitaine.fr/films,https://far.memoirefilmiquenouvelleaquitaine.fr/films/plage-dans-les-annees-1960,ok,200,1,1,"Ficha pública de filme MFNA/FAR com metadados e URL de vídeo MP4, sem baixar mídia.",
Fonds Audiovisuel de Recherche,fonds-audiovisuel-de-recherche,France,Europe,FR-FAR,Local audiovisual archive with public film catalog,https://far-asso.fr/,True,True,https://far.memoirefilmiquenouvelleaquitaine.fr/films,https://far.memoirefilmiquenouvelleaquitaine.fr/films/de-la-plage-a-la-campagne-dans-les-annees-1960-1970-2,ok,200,1,1,"Ficha pública de filme MFNA/FAR com metadados e URL de vídeo MP4, sem baixar mídia.",
Fonds Audiovisuel de Recherche,fonds-audiovisuel-de-recherche,France,Europe,FR-FAR,Local audiovisual archive with public film catalog,https://far-asso.fr/,True,True,https://far.memoirefilmiquenouvelleaquitaine.fr/films,https://far.memoirefilmiquenouvelleaquitaine.fr/films/l-ile-d-oleron-dans-les-annees-1960,ok,200,1,1,"Ficha pública de filme MFNA/FAR com metadados e URL de vídeo MP4, sem baixar mídia.",
Fonds Audiovisuel de Recherche,fonds-audiovisuel-de-recherche,France,Europe,FR-FAR,Local audiovisual archive with public film catalog,https://far-asso.fr/,True,True,https://far.memoirefilmiquenouvelleaquitaine.fr/films,https://far.memoirefilmiquenouvelleaquitaine.fr/films/journee-familiale-a-la-plage-dans-les-annees-1960-1970-2,ok,200,1,1,"Ficha pública de filme MFNA/FAR com metadados e URL de vídeo MP4, sem baixar mídia.",
Fonds Audiovisuel de Recherche,fonds-audiovisuel-de-recherche,France,Europe,FR-FAR,Local audiovisual archive with public film catalog,https://far-asso.fr/,True,True,https://far.memoirefilmiquenouvelleaquitaine.fr/films,https://far.memoirefilmiquenouvelleaquitaine.fr/films/royan-dans-les-annees-1960,ok,200,1,1,"Ficha pública de filme MFNA/FAR com metadados e URL de vídeo MP4, sem baixar mídia.",
Fonds Audiovisuel de Recherche,fonds-audiovisuel-de-recherche,France,Europe,FR-FAR,Local audiovisual archive with public film catalog,https://far-asso.fr/,True,True,https://far.memoirefilmiquenouvelleaquitaine.fr/films,https://far.memoirefilmiquenouvelleaquitaine.fr/films/spectacle-de-noel-en-1993-2,ok,200,1,1,"Ficha pública de filme MFNA/FAR com metadados e URL de vídeo MP4, sem baixar mídia.",
Fonds Audiovisuel de Recherche,fonds-audiovisuel-de-recherche,France,Europe,FR-FAR,Local audiovisual archive with public film catalog,https://far-asso.fr/,True,True,https://far.memoirefilmiquenouvelleaquitaine.fr/films,https://far.memoirefilmiquenouvelleaquitaine.fr/films/spectacle-musicadanse-en-1990-2,ok,200,1,1,"Ficha pública de filme MFNA/FAR com metadados e URL de vídeo MP4, sem baixar mídia.",
