tema,pais,total
Digitalização e acesso,France,28
Comunicação institucional,France,23
Visita e descoberta do arquivo,France,4
Coleções e serviços,France,3
Música e performance,France,3
Tema não identificado,France,3
Apresentação institucional,France,2
Exposições e eventos,France,2
Formação e mediação,France,2
História e pesquisa,France,2
Acervo e patrimônio,France,1
