dataset,observation_key,snapshot_generated_at,source_status_date,raw_outputs_last_modified_at,analytic_outputs_last_modified_at,generated_by,institutions,institutions_with_website,institutions_with_video_links,video_links_total,videos_in_curatorial_catalog,visibility_categories,theme_categories,archive_type_categories,platforms_detected,countries_with_videos
asim,asim:2026-06-10T18:34:39Z,2026-06-10T18:34:39Z,,2026-06-10T18:34:39Z,2026-06-10T18:34:38Z,scripts/run_asim_pipeline.py,1,1,1,96,96,1,4,1,1,1
asim,asim:2026-06-10T18:36:44Z,2026-06-10T18:36:44Z,,2026-06-10T18:36:44Z,2026-06-10T18:36:44Z,scripts/run_asim_pipeline.py,1,1,1,97,97,1,4,1,1,1
