institution,slug,country,continent,repository_code,archive_type,dr_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/605771?page_size=50&page=1,ok,200,0,0,"Lista DRTV/Gensyn 605771, página 1/1; coleção: Gensyn - Se programmer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/609396?page_size=50&page=1,ok,200,22,0,"Lista DRTV/Gensyn 609396, página 1/1; coleção: Gensyn - Se programmer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/610191?page_size=50&page=1,ok,200,7,0,"Lista DRTV/Gensyn 610191, página 1/1; coleção: Gensyn - Se programmer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/553963?page_size=50&page=1,ok,200,0,0,"Lista DRTV/Gensyn 553963, página 1/1; coleção: Gensyn - Se programmer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/436083?page_size=50&page=1,ok,200,26,0,"Lista DRTV/Gensyn 436083, página 1/1; coleção: Gensyn - Se programmer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/609747?page_size=50&page=1,ok,200,10,0,"Lista DRTV/Gensyn 609747, página 1/1; coleção: Gensyn - Se programmer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/609395?page_size=50&page=1,ok,200,7,0,"Lista DRTV/Gensyn 609395, página 1/1; coleção: Gensyn - Se programmer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/440055?page_size=50&page=1,ok,200,22,0,"Lista DRTV/Gensyn 440055, página 1/1; coleção: Gensyn - Se programmer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/595306?page_size=50&page=1,ok,200,10,0,"Lista DRTV/Gensyn 595306, página 1/1; coleção: Gensyn - Se programmer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/602253?page_size=50&page=1,ok,200,20,0,"Lista DRTV/Gensyn 602253, página 1/1; coleção: Gensyn - Se programmer fra DR's arkiv her.",
