tema,plataforma,total
"Documentário, cotidiano e memória cultural",Deutsche Kinemathek Selects,4
"Cinema, identidade e memória cultural",Deutsche Kinemathek Selects,3
Patrimônio cinematográfico e cinefilia,Deutsche Kinemathek Selects,2
