code,label,probe,probe_label,method,url,http_status,final_url,content_type,content_length,access_status,evidence_signal,observed_value,protocol_conclusion,next_step,methodological_note,evaluated_at,rule_version,error
inedits-ad-libitum,Ad Libitum Workshop,official_site_http,Site oficial informado pelo INEDITS - HTTP,GET,http://www.adlibitum.saintmarcellin-vercors-isere.fr/,,http://www.adlibitum.saintmarcellin-vercors-isere.fr/,,,falha_tecnica,official_site,falha_tecnica,site_oficial_indisponivel_na_rodada,retestar_site_oficial_em_ciclo_futuro,Testa a URL institucional informada pelo diretório INEDITS.,2026-06-08T16:54:40Z,2026-05-adlibitum-protocol-v1,"HTTPConnectionPool(host='www.adlibitum.saintmarcellin-vercors-isere.fr', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<HTTPConnection(host='www.adlibitum.saintmarcellin-vercors-isere.fr', port=80) at 0x27966874a10>, 'Connection to www.adlibitum.saintmarcellin-vercors-isere.fr timed out. (connect timeout=6)'))"
inedits-ad-libitum,Ad Libitum Workshop,official_site_https,Site oficial informado pelo INEDITS - HTTPS,GET,https://www.adlibitum.saintmarcellin-vercors-isere.fr/,,https://www.adlibitum.saintmarcellin-vercors-isere.fr/,,,falha_tecnica,official_site,falha_tecnica,site_oficial_indisponivel_na_rodada,retestar_site_oficial_em_ciclo_futuro,Testa a variação HTTPS da URL institucional informada pelo INEDITS.,2026-06-08T16:54:40Z,2026-05-adlibitum-protocol-v1,"HTTPSConnectionPool(host='www.adlibitum.saintmarcellin-vercors-isere.fr', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.adlibitum.saintmarcellin-vercors-isere.fr', port=443) at 0x27964d425d0>, 'Connection to www.adlibitum.saintmarcellin-vercors-isere.fr timed out. (connect timeout=6)'))"
inedits-ad-libitum,Ad Libitum Workshop,inedits_member_page,Ficha do membro no INEDITS,GET,https://inedits.eu/en/inedits_content/ad-libitum-workshop/,200,https://inedits.eu/en/inedits_content/ad-libitum-workshop/,text/html; charset=UTF-8,,acessivel,directory_reference,ad_libitum=sim; sinal_audiovisual=sim; player=nao; catalogo_publico=nao; listado_no_indice_online=nao,referencia_institucional_confirma_arquivo_sem_catalogo_publico,buscar_catalogo_publico_api_ou_parceria_antes_de_ingestao,Confirma a identificação institucional sem tratar a ficha como catálogo de filmes.,2026-06-08T16:54:40Z,2026-05-adlibitum-protocol-v1,
inedits-ad-libitum,Ad Libitum Workshop,inedits_online_archives_index,Índice INEDITS de arquivos online,GET,https://inedits.eu/en/resources/online-archives/,200,https://inedits.eu/en/resources/online-archives/,text/html; charset=UTF-8,,acessivel,online_archives_index,ad_libitum=nao; sinal_audiovisual=sim; player=nao; catalogo_publico=nao; listado_no_indice_online=nao,indice_inedits_acessivel_sem_adlibitum,manter_fora_do_corpus_ativo_nesta_rodada,Verifica se o INEDITS lista o Ad Libitum entre arquivos com acervo online.,2026-06-08T16:54:40Z,2026-05-adlibitum-protocol-v1,
inedits-ad-libitum,Ad Libitum Workshop,voiron_directory_page,Página pública municipal de Voiron,GET,https://www.voiron.fr/annuaire/1694/1266-ad-libitum-atelier-cinematographique-photographique.htm,200,https://www.voiron.fr/annuaire/1694/1266-ad-libitum-atelier-cinematographique-photographique.htm,text/html; charset=utf-8,8919,acessivel,municipal_reference,ad_libitum=sim; sinal_audiovisual=sim; player=nao; catalogo_publico=nao; listado_no_indice_online=nao,referencia_institucional_confirma_arquivo_sem_catalogo_publico,buscar_catalogo_publico_api_ou_parceria_antes_de_ingestao,Confirma referência pública externa sem tratá-la como rota de acervo.,2026-06-08T16:54:40Z,2026-05-adlibitum-protocol-v1,
