tema,tipo_institucional,total
Documentário e registro histórico,National film archive,48
Registro audiovisual em catálogo,National film archive,47
Cinejornal e atualidades,National film archive,40
Ficção cinematográfica,National film archive,5
Animação,National film archive,1
