tema,tipo_institucional,total
"Cultura, artes e patrimônio audiovisual",Public service broadcaster audiovisual archive with authenticated streaming,217
Documentário e registro histórico,Public service broadcaster audiovisual archive with authenticated streaming,124
Arquivo televisivo público,Public service broadcaster audiovisual archive with authenticated streaming,56
"Televisão, entretenimento e memória popular",Public service broadcaster audiovisual archive with authenticated streaming,56
