institution,slug,country,continent,repository_code,archive_type,iam_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/promenade-en-mer/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/la-rame-du-soleil/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/lenvers-du-decor-du-ballet-romeo-et-juliette/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/au-bon-temps-de-la-peche/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/imagina-1992-a-la-conquete-des-mondes-virtuels/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/rendez-vous-international-de-scooters-de-monaco/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/la-salopette-bleue/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/tintinville/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/en-terrasse-au-lido/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/sketch-1-luis-molne/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/bapteme-du-nouveau-prince/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/naissance-dun-quartier/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/theme-cine-astral-claude-chabrol-au-micro-de-francoise-hardy/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/tendances-mode-printemps-ete/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/un-acteur-touche-a-tout/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/a-contre-emploi-interview-de-jean-pierre-mocky/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/docteur-lang/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
