institution,slug,country,continent,repository_code,archive_type,ciclic_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
CICLIC - Centre-Val-de-Loire,ciclic-centre-val-de-loire,France,Europe,FR-CICLIC,Institutional film and audiovisual archive,https://memoire.ciclic.fr/,True,True,https://memoire.ciclic.fr/films-d-archives,https://memoire.ciclic.fr/27259-curage-d-une-mare-attray,ok,200,1,1,"Ficha pública Ciclic Mémoire verificada, com embed registrado sem baixar mídia.",
CICLIC - Centre-Val-de-Loire,ciclic-centre-val-de-loire,France,Europe,FR-CICLIC,Institutional film and audiovisual archive,https://memoire.ciclic.fr/,True,True,https://memoire.ciclic.fr/films-d-archives,https://memoire.ciclic.fr/27258-1-abattage-d-arbres-briarres-sur-essonne,ok,200,1,1,"Ficha pública Ciclic Mémoire verificada, com embed registrado sem baixar mídia.",
CICLIC - Centre-Val-de-Loire,ciclic-centre-val-de-loire,France,Europe,FR-CICLIC,Institutional film and audiovisual archive,https://memoire.ciclic.fr/,True,True,https://memoire.ciclic.fr/films-d-archives,https://memoire.ciclic.fr/27257-voyage-en-yougoslavie,ok,200,1,1,"Ficha pública Ciclic Mémoire verificada, com embed registrado sem baixar mídia.",
CICLIC - Centre-Val-de-Loire,ciclic-centre-val-de-loire,France,Europe,FR-CICLIC,Institutional film and audiovisual archive,https://memoire.ciclic.fr/,True,True,https://memoire.ciclic.fr/films-d-archives,https://memoire.ciclic.fr/27243-battage-et-tonte-de-moutons-artenay,ok,200,1,1,"Ficha pública Ciclic Mémoire verificada, com embed registrado sem baixar mídia.",
CICLIC - Centre-Val-de-Loire,ciclic-centre-val-de-loire,France,Europe,FR-CICLIC,Institutional film and audiovisual archive,https://memoire.ciclic.fr/,True,True,https://memoire.ciclic.fr/films-d-archives,https://memoire.ciclic.fr/27242-chantier-de-construction-en-inde,ok,200,1,1,"Ficha pública Ciclic Mémoire verificada, com embed registrado sem baixar mídia.",
CICLIC - Centre-Val-de-Loire,ciclic-centre-val-de-loire,France,Europe,FR-CICLIC,Institutional film and audiovisual archive,https://memoire.ciclic.fr/,True,True,https://memoire.ciclic.fr/films-d-archives,https://memoire.ciclic.fr/27240-batteuse-artenay,ok,200,1,1,"Ficha pública Ciclic Mémoire verificada, com embed registrado sem baixar mídia.",
CICLIC - Centre-Val-de-Loire,ciclic-centre-val-de-loire,France,Europe,FR-CICLIC,Institutional film and audiovisual archive,https://memoire.ciclic.fr/,True,True,https://memoire.ciclic.fr/films-d-archives,https://memoire.ciclic.fr/27239-saint-vincent-verdigny,ok,200,1,1,"Ficha pública Ciclic Mémoire verificada, com embed registrado sem baixar mídia.",
CICLIC - Centre-Val-de-Loire,ciclic-centre-val-de-loire,France,Europe,FR-CICLIC,Institutional film and audiovisual archive,https://memoire.ciclic.fr/,True,True,https://memoire.ciclic.fr/films-d-archives,https://memoire.ciclic.fr/27235-1-defile-des-fetes-johanniques-orleans,ok,200,1,1,"Ficha pública Ciclic Mémoire verificada, com embed registrado sem baixar mídia.",
CICLIC - Centre-Val-de-Loire,ciclic-centre-val-de-loire,France,Europe,FR-CICLIC,Institutional film and audiovisual archive,https://memoire.ciclic.fr/,True,True,https://memoire.ciclic.fr/films-d-archives,https://memoire.ciclic.fr/27234-carnaval-de-saint-jean-de-la-ruelle,ok,200,1,1,"Ficha pública Ciclic Mémoire verificada, com embed registrado sem baixar mídia.",
CICLIC - Centre-Val-de-Loire,ciclic-centre-val-de-loire,France,Europe,FR-CICLIC,Institutional film and audiovisual archive,https://memoire.ciclic.fr/,True,True,https://memoire.ciclic.fr/films-d-archives,https://memoire.ciclic.fr/27228-vie-familiale,ok,200,1,1,"Ficha pública Ciclic Mémoire verificada, com embed registrado sem baixar mídia.",
CICLIC - Centre-Val-de-Loire,ciclic-centre-val-de-loire,France,Europe,FR-CICLIC,Institutional film and audiovisual archive,https://memoire.ciclic.fr/,True,True,https://memoire.ciclic.fr/films-d-archives,https://memoire.ciclic.fr/27005-presentations-de-l-etoile-filante,ok,200,1,1,"Ficha pública Ciclic Mémoire verificada, com embed registrado sem baixar mídia.",
CICLIC - Centre-Val-de-Loire,ciclic-centre-val-de-loire,France,Europe,FR-CICLIC,Institutional film and audiovisual archive,https://memoire.ciclic.fr/,True,True,https://memoire.ciclic.fr/films-d-archives,https://memoire.ciclic.fr/27004-12-heures-de-reims,ok,200,1,1,"Ficha pública Ciclic Mémoire verificada, com embed registrado sem baixar mídia.",
CICLIC - Centre-Val-de-Loire,ciclic-centre-val-de-loire,France,Europe,FR-CICLIC,Institutional film and audiovisual archive,https://memoire.ciclic.fr/,True,True,https://memoire.ciclic.fr/films-d-archives,https://memoire.ciclic.fr/27003-production-de-la-renault-dauphine-rushes,ok,200,1,1,"Ficha pública Ciclic Mémoire verificada, com embed registrado sem baixar mídia.",
CICLIC - Centre-Val-de-Loire,ciclic-centre-val-de-loire,France,Europe,FR-CICLIC,Institutional film and audiovisual archive,https://memoire.ciclic.fr/,True,True,https://memoire.ciclic.fr/films-d-archives,https://memoire.ciclic.fr/27002-1-24-heures-du-mans,ok,200,1,1,"Ficha pública Ciclic Mémoire verificada, com embed registrado sem baixar mídia.",
CICLIC - Centre-Val-de-Loire,ciclic-centre-val-de-loire,France,Europe,FR-CICLIC,Institutional film and audiovisual archive,https://memoire.ciclic.fr/,True,True,https://memoire.ciclic.fr/films-d-archives,https://memoire.ciclic.fr/27227-1-kermesse-escrennes,ok,200,1,1,"Ficha pública Ciclic Mémoire verificada, com embed registrado sem baixar mídia.",
CICLIC - Centre-Val-de-Loire,ciclic-centre-val-de-loire,France,Europe,FR-CICLIC,Institutional film and audiovisual archive,https://memoire.ciclic.fr/,True,True,https://memoire.ciclic.fr/films-d-archives,https://memoire.ciclic.fr/27226-fete-patronale-escrennes,ok,200,1,1,"Ficha pública Ciclic Mémoire verificada, com embed registrado sem baixar mídia.",
CICLIC - Centre-Val-de-Loire,ciclic-centre-val-de-loire,France,Europe,FR-CICLIC,Institutional film and audiovisual archive,https://memoire.ciclic.fr/,True,True,https://memoire.ciclic.fr/films-d-archives,https://memoire.ciclic.fr/7107-chasse-au-canard-la,ok,200,1,1,"Ficha pública Ciclic Mémoire verificada, com embed registrado sem baixar mídia.",
CICLIC - Centre-Val-de-Loire,ciclic-centre-val-de-loire,France,Europe,FR-CICLIC,Institutional film and audiovisual archive,https://memoire.ciclic.fr/,True,True,https://memoire.ciclic.fr/films-d-archives,https://memoire.ciclic.fr/27221-jeux-intervillages-escrennes,ok,200,1,1,"Ficha pública Ciclic Mémoire verificada, com embed registrado sem baixar mídia.",
CICLIC - Centre-Val-de-Loire,ciclic-centre-val-de-loire,France,Europe,FR-CICLIC,Institutional film and audiovisual archive,https://memoire.ciclic.fr/,True,True,https://memoire.ciclic.fr/films-d-archives,https://memoire.ciclic.fr/27220-jeux-intervillages-bouzonville-aux-bois,ok,200,1,1,"Ficha pública Ciclic Mémoire verificada, com embed registrado sem baixar mídia.",
CICLIC - Centre-Val-de-Loire,ciclic-centre-val-de-loire,France,Europe,FR-CICLIC,Institutional film and audiovisual archive,https://memoire.ciclic.fr/,True,True,https://memoire.ciclic.fr/films-d-archives,https://memoire.ciclic.fr/27219-kermesse-escrennes,ok,200,1,1,"Ficha pública Ciclic Mémoire verificada, com embed registrado sem baixar mídia.",
CICLIC - Centre-Val-de-Loire,ciclic-centre-val-de-loire,France,Europe,FR-CICLIC,Institutional film and audiovisual archive,https://memoire.ciclic.fr/,True,True,https://memoire.ciclic.fr/films-d-archives,https://memoire.ciclic.fr/27217-fete-patronale-escrennes,ok,200,1,1,"Ficha pública Ciclic Mémoire verificada, com embed registrado sem baixar mídia.",
CICLIC - Centre-Val-de-Loire,ciclic-centre-val-de-loire,France,Europe,FR-CICLIC,Institutional film and audiovisual archive,https://memoire.ciclic.fr/,True,True,https://memoire.ciclic.fr/films-d-archives,https://memoire.ciclic.fr/27216-fete-patronale-et-autres-manifestations-escrennes,ok,200,1,1,"Ficha pública Ciclic Mémoire verificada, com embed registrado sem baixar mídia.",
CICLIC - Centre-Val-de-Loire,ciclic-centre-val-de-loire,France,Europe,FR-CICLIC,Institutional film and audiovisual archive,https://memoire.ciclic.fr/,True,True,https://memoire.ciclic.fr/films-d-archives,https://memoire.ciclic.fr/27215-kermesse-escrennes,ok,200,1,1,"Ficha pública Ciclic Mémoire verificada, com embed registrado sem baixar mídia.",
CICLIC - Centre-Val-de-Loire,ciclic-centre-val-de-loire,France,Europe,FR-CICLIC,Institutional film and audiovisual archive,https://memoire.ciclic.fr/,True,True,https://memoire.ciclic.fr/films-d-archives,https://memoire.ciclic.fr/27214-kermesse-escrennes,ok,200,1,1,"Ficha pública Ciclic Mémoire verificada, com embed registrado sem baixar mídia.",
CICLIC - Centre-Val-de-Loire,ciclic-centre-val-de-loire,France,Europe,FR-CICLIC,Institutional film and audiovisual archive,https://memoire.ciclic.fr/,True,True,https://memoire.ciclic.fr/films-d-archives,https://memoire.ciclic.fr/27213-kermesse-escrennes,ok,200,1,1,"Ficha pública Ciclic Mémoire verificada, com embed registrado sem baixar mídia.",
CICLIC - Centre-Val-de-Loire,ciclic-centre-val-de-loire,France,Europe,FR-CICLIC,Institutional film and audiovisual archive,https://memoire.ciclic.fr/,True,True,https://memoire.ciclic.fr/films-d-archives,https://memoire.ciclic.fr/27212-fete-patronale-escrennes,ok,200,1,1,"Ficha pública Ciclic Mémoire verificada, com embed registrado sem baixar mídia.",
CICLIC - Centre-Val-de-Loire,ciclic-centre-val-de-loire,France,Europe,FR-CICLIC,Institutional film and audiovisual archive,https://memoire.ciclic.fr/,True,True,https://memoire.ciclic.fr/films-d-archives,https://memoire.ciclic.fr/27210-kermesse-escrennes,ok,200,1,1,"Ficha pública Ciclic Mémoire verificada, com embed registrado sem baixar mídia.",
CICLIC - Centre-Val-de-Loire,ciclic-centre-val-de-loire,France,Europe,FR-CICLIC,Institutional film and audiovisual archive,https://memoire.ciclic.fr/,True,True,https://memoire.ciclic.fr/films-d-archives,https://memoire.ciclic.fr/ssks/ajax/modspe/ciclic_memoire_liste_films?ajax=1&useAjax=1&page=1&vue=mosaique&uniqID=ciclic_memoire_liste_films&order=created%2Fdesc&renderMode=addmore,ok,200,0,0,Página AJAX 2 de listagem pública Ciclic Mémoire.,
