tema,plataforma,total
Comunicação institucional,EUscreen,60
Música e performance,EUscreen,23
Divulgação de serviços e projetos,EUscreen,12
Exposições e eventos,EUscreen,10
História e pesquisa,EUscreen,6
"Memória, narrativa e testemunho",EUscreen,6
Visita e descoberta do arquivo,EUscreen,6
Coleções e serviços,EUscreen,5
Formação e mediação,EUscreen,3
Apresentação institucional,EUscreen,2
