dataset,observation_key,snapshot_generated_at,source_status_date,generated_by,institution,slug,repository_code,country,continent,archive_type,website_available,partner_site,partner_domain,status,http_code,integrity_status,availability_group,audiovisual_visibility,access_regime,video_links_found_total,embedded_video_signals_total,candidate_internal_pages,final_url
filmoteca_catalunya,filmoteca_catalunya:2026-07-17T16:56:54Z,2026-07-17T16:56:54Z,,scripts/run_filmoteca_catalunya_pipeline.py,Filmoteca de Catalunya,filmoteca-catalunya,ES-CT-FILMOTECA-CATALUNYA,Spain,Europe,Film archive with restricted institutional catalogue and public PLATFO FILMO subset,True,https://filmo.platfo.es/pages/home,filmo.platfo.es,ok,200,integro,Disponível,Evidência pública detectável de audiovisual,Acesso autenticado em plataforma televisiva pública,10,10,4,https://galgo-filmoteca.galgo.tv/search?copyright=205985&version=2&image-format=webp&size=10000&page=1
filmoteca_catalunya,filmoteca_catalunya:2026-07-17T17:08:04Z,2026-07-17T17:08:04Z,,scripts/run_filmoteca_catalunya_pipeline.py,Filmoteca de Catalunya,filmoteca-catalunya,ES-CT-FILMOTECA-CATALUNYA,Spain,Europe,Film archive with restricted institutional catalogue and public PLATFO FILMO subset,True,https://filmo.platfo.es/pages/home,filmo.platfo.es,ok,200,integro,Disponível,Evidência pública detectável de audiovisual,Acesso autenticado em plataforma televisiva pública,10,10,4,https://galgo-filmoteca.galgo.tv/search?copyright=205985&version=2&image-format=webp&size=10000&page=1
filmoteca_catalunya,filmoteca_catalunya:2026-07-17T17:09:08Z,2026-07-17T17:09:08Z,,scripts/run_filmoteca_catalunya_pipeline.py,Filmoteca de Catalunya,filmoteca-catalunya,ES-CT-FILMOTECA-CATALUNYA,Spain,Europe,Film archive with restricted institutional catalogue and public PLATFO FILMO subset,True,https://filmo.platfo.es/pages/home,filmo.platfo.es,ok,200,integro,Disponível,Evidência pública detectável de audiovisual,Acesso autenticado em plataforma televisiva pública,10,10,4,https://galgo-filmoteca.galgo.tv/search?copyright=205985&version=2&image-format=webp&size=10000&page=1
