tema,tipo_institucional,total
"Vida pública, política e história",Institutional film and labour movement audiovisual archive,24
Documentário e registro histórico,Institutional film and labour movement audiovisual archive,14
"Território, cidade e memória local",Institutional film and labour movement audiovisual archive,10
