dataset,observation_key,snapshot_generated_at,source_status_date,generated_by,institution,slug,repository_code,country,continent,archive_type,website_available,partner_site,partner_domain,status,http_code,integrity_status,availability_group,audiovisual_visibility,access_regime,video_links_found_total,embedded_video_signals_total,candidate_internal_pages,final_url
bbc,bbc:2026-06-12T18:30:10Z,2026-06-12T18:30:10Z,,scripts/run_bbc_pipeline.py,BBC Archive,bbc-archive,GB-BBC-ARCHIVE,United Kingdom,Europe,Broadcast audiovisual archive,True,https://www.bbc.co.uk/topics/c01yxyz46myt,bbc.co.uk,ok,200,integro,Disponível,Evidência pública detectável de audiovisual,Acesso aberto em arquivo televisivo público curado,817,817,48,https://www.bbc.co.uk/topics/c01yxyz46myt
bbc,bbc:2026-06-12T18:33:25Z,2026-06-12T18:33:25Z,,scripts/run_bbc_pipeline.py,BBC Archive,bbc-archive,GB-BBC-ARCHIVE,United Kingdom,Europe,Broadcast audiovisual archive,True,https://www.bbc.co.uk/topics/c01yxyz46myt,bbc.co.uk,ok,200,integro,Disponível,Evidência pública detectável de audiovisual,Acesso aberto em arquivo televisivo público curado,817,817,48,https://www.bbc.co.uk/topics/c01yxyz46myt
bbc,bbc:2026-06-12T18:37:41Z,2026-06-12T18:37:41Z,,scripts/run_bbc_pipeline.py,BBC Archive,bbc-archive,GB-BBC-ARCHIVE,United Kingdom,Europe,Broadcast audiovisual archive,True,https://www.bbc.co.uk/topics/c01yxyz46myt,bbc.co.uk,ok,200,integro,Disponível,Evidência pública detectável de audiovisual,Acesso aberto em arquivo televisivo público curado,817,817,48,https://www.bbc.co.uk/topics/c01yxyz46myt
