institution,slug,country,continent,repository_code,archive_type,ape_detail_url,content_available_in_ape,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Archives départementales de l'Allier,archives-d-partementales-de-l-allier,France,Europe,FR-FRAD003,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD003,True,True,http://archives.allier.fr/,https://archives.allier.fr/archiver/communes-et-intercommunalites-1,ok,200,0,0,,
Archives départementales de l'Allier,archives-d-partementales-de-l-allier,France,Europe,FR-FRAD003,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD003,True,True,http://archives.allier.fr/,https://archives.allier.fr/rechercher/archives-numerisees,ok,200,0,0,,
Archives départementales de l'Allier,archives-d-partementales-de-l-allier,France,Europe,FR-FRAD003,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD003,True,True,http://archives.allier.fr/,https://archives.allier.fr/decouvrir/documents-et-histoire/cabinet-de-curiosites/imaginer-la-nuit-en-cartes-postales-dans-lallier,ok,200,0,0,,
Archives départementales de l'Allier,archives-d-partementales-de-l-allier,France,Europe,FR-FRAD003,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD003,True,True,http://archives.allier.fr/,https://archives.allier.fr/service-educatif/activites-pedagogiques-en-ligne,ok,200,0,0,,
Archives départementales de l'Ardèche,archives-d-partementales-de-l-ard-che,France,Europe,FR-FRAD007,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD007,True,True,http://archives.ardeche.fr/,https://archives.ardeche.fr/,ok,200,0,0,,
Archives départementales de l'Aube,archives-d-partementales-de-l-aube,France,Europe,FR-FRAD010,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD010,True,True,http://www.archives-aube.fr/,https://www.archives-aube.fr/archives-et-patrimoine-de-laube-1/les-partenaires-de-la-dap,ok,200,0,0,,
Archives départementales de l'Aube,archives-d-partementales-de-l-aube,France,Europe,FR-FRAD010,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD010,True,True,http://www.archives-aube.fr/,https://www.archives-aube.fr/archives-et-patrimoine-de-laube-1/les-partenaires-de-la-dap/liens-et-ressources,ok,200,0,0,,
Archives départementales de l'Aube,archives-d-partementales-de-l-aube,France,Europe,FR-FRAD010,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD010,True,True,http://www.archives-aube.fr/,https://www.archives-aube.fr/archives-et-patrimoine-de-laube-1/la-dap-au-fil-du-temps,ok,200,0,0,,
Archives départementales de l'Aube,archives-d-partementales-de-l-aube,France,Europe,FR-FRAD010,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD010,True,True,http://www.archives-aube.fr/,https://www.archives-aube.fr/archives-et-patrimoine-de-laube,ok,200,0,0,,
Archives départementales de l'Aube,archives-d-partementales-de-l-aube,France,Europe,FR-FRAD010,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD010,True,True,http://www.archives-aube.fr/,https://www.archives-aube.fr/archives-et-patrimoine-de-laube/infos-pratiques,ok,200,0,0,,
Archives départementales de l'Eure-et-Loir,archives-d-partementales-de-l-eure-et-loir,France,Europe,FR-FRAD028,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD028,True,True,http://www.archives28.fr,https://www.archives28.fr/archives-et-inventaires-en-ligne/fonds-iconographiques,ok,200,0,0,,
Archives départementales de l'Eure-et-Loir,archives-d-partementales-de-l-eure-et-loir,France,Europe,FR-FRAD028,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD028,True,True,http://www.archives28.fr,https://www.archives28.fr/archives-et-inventaires-en-ligne/archives-orales,http_error,502,0,0,,
Archives départementales de l'Eure-et-Loir,archives-d-partementales-de-l-eure-et-loir,France,Europe,FR-FRAD028,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD028,True,True,http://www.archives28.fr,https://www.archives28.fr/archives-et-inventaires-en-ligne,ok,200,0,0,,
Archives départementales de l'Eure-et-Loir,archives-d-partementales-de-l-eure-et-loir,France,Europe,FR-FRAD028,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD028,True,True,http://www.archives28.fr,https://www.archives28.fr/archives-et-inventaires-en-ligne/inventaires-en-ligne,ok,200,0,0,,
Archives départementales de l'Eure-et-Loir,archives-d-partementales-de-l-eure-et-loir,France,Europe,FR-FRAD028,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD028,True,True,http://www.archives28.fr,https://archives28.fr/gestion-des-cookies,ok,200,0,0,,
Archives départementales de l'Ille-et-Vilaine,archives-d-partementales-de-l-ille-et-vilaine,France,Europe,FR-FRAD035,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD035,True,True,http://archives.ille-et-vilaine.fr/,https://archives.ille-et-vilaine.fr/vos-recherches-dans-les-archives/consultation-en-salle-de-lecture/reproduire-des-documents,ok,200,0,0,,
Archives départementales de l'Ille-et-Vilaine,archives-d-partementales-de-l-ille-et-vilaine,France,Europe,FR-FRAD035,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD035,True,True,http://archives.ille-et-vilaine.fr/,https://archives.ille-et-vilaine.fr/la-programmation-autour-du-cycle-memoriel-pour-lannee-2025,ok,200,0,0,,
Archives départementales de l'Ille-et-Vilaine,archives-d-partementales-de-l-ille-et-vilaine,France,Europe,FR-FRAD035,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD035,True,True,http://archives.ille-et-vilaine.fr/,https://archives.ille-et-vilaine.fr/programmation-culturelle-exposition-elles-leurs-droits-notre-histoire,ok,200,0,0,,
Archives départementales de l'Ille-et-Vilaine,archives-d-partementales-de-l-ille-et-vilaine,France,Europe,FR-FRAD035,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD035,True,True,http://archives.ille-et-vilaine.fr/,https://archives.ille-et-vilaine.fr/informations-pratiques/vos-archives-nous-interessent,ok,200,0,0,,
Archives départementales de l'Ille-et-Vilaine,archives-d-partementales-de-l-ille-et-vilaine,France,Europe,FR-FRAD035,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD035,True,True,http://archives.ille-et-vilaine.fr/,https://archives.ille-et-vilaine.fr/archiver/notaires/traitement-et-communication-des-archives-notariales,ok,200,0,0,,
Archives départementales de l'Indre,archives-d-partementales-de-l-indre,France,Europe,FR-FRAD36,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD36,True,True,http://www.archives36.fr/,https://www.archives36.fr/actualites/actualites/archives-de-la-seconde-guerre-mondiale,ok,200,0,0,,
Archives départementales de l'Indre,archives-d-partementales-de-l-indre,France,Europe,FR-FRAD36,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD36,True,True,http://www.archives36.fr/,https://www.archives36.fr/service-educatif/archives-a-la-loupe,ok,200,0,0,,
Archives départementales de l'Indre,archives-d-partementales-de-l-indre,France,Europe,FR-FRAD36,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD36,True,True,http://www.archives36.fr/,https://www.archives36.fr/actualites/actualites/archives-a-la-loupe-1,ok,200,0,0,,
Archives départementales de l'Orne,archives-d-partementales-de-l-orne,France,Europe,FR-FRD061,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRD061,True,True,http://archives.orne.fr/,https://archives.orne.fr/index.php/documents-iconographiques-0,ok,200,0,0,,
Archives départementales de l'Orne,archives-d-partementales-de-l-orne,France,Europe,FR-FRD061,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRD061,True,True,http://archives.orne.fr/,https://archives.orne.fr/index.php/etat-civil,ok,200,0,0,,
Archives départementales de l'Orne,archives-d-partementales-de-l-orne,France,Europe,FR-FRD061,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRD061,True,True,http://archives.orne.fr/,https://archives.orne.fr/index.php/communes,ok,200,0,0,,
Archives départementales de l'Orne,archives-d-partementales-de-l-orne,France,Europe,FR-FRD061,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRD061,True,True,http://archives.orne.fr/,https://archives.orne.fr/index.php/rechercher-dans-nos-fonds-et-collections,ok,200,0,0,,
Archives départementales de l'Orne,archives-d-partementales-de-l-orne,France,Europe,FR-FRD061,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRD061,True,True,http://archives.orne.fr/,https://archives.orne.fr/index.php/ecomusee-du-perche,ok,200,0,0,,
Archives départementales de la Charente-Maritime,archives-d-partementales-de-la-charente-maritime,France,Europe,FR-FRAD017,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD017,True,True,https://archives.charente-maritime.fr/,https://archives.charente-maritime.fr/actualites/exposition-reconstruire-en-charente-maritime-1945-1965,ok,200,0,0,,
