institution,slug,country,continent,repository_code,archive_type,euscreen_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at,video_title_display,video_date_display,video_theme,access_surface
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,Deutsche Welle,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_C365F5BA0CCE42871116B5EBC2BFD778,Fashion drawings from the 20th century,Deutsche Welle,"Director of the Weimar Schlossmuseum, Rolf Bothe, walks us through the exhibition „Art Fashion“. The show focuses on fashion drawings from the 20th century.",,Fashion drawings from the 20th century,,Exposições e eventos,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,ORF,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_03145960C27A4A1F9B6DC3554F9168F6,Fashion international,ORF,This autumn's and winter trends got their inspiration from the fashion of the 1920s and 30s.,,Fashion international,,Comunicação institucional,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,LUCE,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_AA247A5972D743F8AAD7FD8146B8B48B,"Feast of ""agnolotto of Monferrato"" and traditional competition of moustache in Casale Monferrato",LUCE,"Majorettes parading for the feast of ""agnolotto"", after which the competition of moustache will proclamate ""Mister moustache 1971""",,"Feast of ""agnolotto of Monferrato"" and traditional competition of moustache in Casale Monferrato",,Comunicação institucional,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,DR,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_6522F688003A44CA992347BD0A1F4029,Football - KB-Schalke 04 in 1958.,DR,Schalke 04 came in a brilliant visit in 1958. The battle played in Idrætsparken. Probably K.B. in striped shirts. No sound.,,Football - KB-Schalke 04 in 1958.,,Visita e descoberta do arquivo,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,DR,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_D19FA3C0F6D049D78EC6070487C90AF2,Football international Denmark - Sweden in 1957.,DR,"Optagelsessted: Idrætsparken. Reportages synes aldrig anvendt, hvilket kan hænge sammen med at DSB kino var lukket for ombygning i tre uger omkring dette tidspunkt.",,Football international Denmark - Sweden in 1957.,,Comunicação institucional,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,INA,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_13E93FD541216432CC40FE98502BF060,Football: France beats England 4 - 2,INA,"Football at Colombes, in front of 35000 spectators, the French team beats the British army team (4-2). Summary of the match.",,Football: France beats England 4 - 2,,Comunicação institucional,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,INA,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_1BD87F9E9593E8D4571BE248434723B4,Football: France vs. Holland,INA,"Football: the French team takes a heavy beating (1-4) in Rotterdam against the Netherlands team and their forward Theo Timmermans, author of a hat-trick. The only French goal was scored by Jean Baratte. Game highlights.",,Football: France vs. Holland,,Divulgação de serviços e projetos,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,DR,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_E755BD84DC504F40B5192D9542233BEF,Fyn - Kirkeby and environs 1951,DR,"Landscape Photos from Kirkby Parish in 1951. In the clip, there are also pictures from Egebjeg independent school and Egebjerg brickyard. The clip has no audio.",,Fyn - Kirkeby and environs 1951,,Comunicação institucional,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,TV3 Televisió de Catalunya (TVC),EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_136674D67F69809BF2FE27AA41C84A52,George Harrison: interview over the years,TV3 Televisió de Catalunya (TVC),"Interview with George Harrison, who talks about his past and present as a musician.",,George Harrison: interview over the years,,Música e performance,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,INA,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_8BC9BD00902846398398206801707242,Georges Brassens and French song,INA,Georges Brassens at home rehearses one of his songs.,,Georges Brassens and French song,,Comunicação institucional,Agregador audiovisual europeu
