institution,slug,country,continent,repository_code,archive_type,cinematheque_francaise_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at,video_title_display,video_date_display,video_theme,access_surface
Cinémathèque française / Musée du cinéma,cin-math-que-fran-aise-mus-e-du-cin-ma,France,Europe,FR-CINEMATHEQUE-FRANCAISE,National cinematheque and online film streaming platform,https://www.cinematheque.fr/les-collections-de-la-cinematheque-francaise.html,True,True,https://www.cinematheque.fr/henri/,HENRI,https://www.cinematheque.fr/henri/film/154931-les-jeux-olympiques-de-1900-etienne-jules-marey-charles-comte-1900/,Les Jeux olympiques de 1900,"Étienne-Jules Marey, Charles Comte",Ficha pública HENRI da Cinémathèque française. duração: 6:55.,1900,Les Jeux olympiques de 1900,1900-01-01,Patrimônio cinematográfico e cinefilia,Arquivo audiovisual institucional
Cinémathèque française / Musée du cinéma,cin-math-que-fran-aise-mus-e-du-cin-ma,France,Europe,FR-CINEMATHEQUE-FRANCAISE,National cinematheque and online film streaming platform,https://www.cinematheque.fr/les-collections-de-la-cinematheque-francaise.html,True,True,https://www.cinematheque.fr/henri/,HENRI,https://www.cinematheque.fr/henri/film/154676-something-good-negro-kiss-william-n-selig-1898/,Something Good – Negro Kiss,William N. Selig,Ficha pública HENRI da Cinémathèque française. duração: 0:48.,1898,Something Good – Negro Kiss,1898-01-01,Patrimônio cinematográfico e cinefilia,Arquivo audiovisual institucional
Cinémathèque française / Musée du cinéma,cin-math-que-fran-aise-mus-e-du-cin-ma,France,Europe,FR-CINEMATHEQUE-FRANCAISE,National cinematheque and online film streaming platform,https://www.cinematheque.fr/les-collections-de-la-cinematheque-francaise.html,True,True,https://www.cinematheque.fr/henri/,HENRI,https://player.vimeo.com/video/534783728?color=7db3af&texttrack=fr,Entrevue de Napoléon et du pape,"Georges Hatot, Gaston Breteau; France / 1897 / 0:49 / Silencieux","Film publicado em HENRI, plataforma de streaming gratuito da Cinémathèque française. | embed: https://player.vimeo.com/video/534783728?color=7db3af&texttrack=fr | « Napoléon, furieux de voir le pape opposer un refus formel à sa demande, malgré ses prières et ses menaces, jette avec colère le papier qu'il voulait lui faire signer et sort de la pièce. » (Catalogue Lumière) Restauration numérique 4K réalisée en 2015 par la Cinémathèque française et l'Institut Lumière d'après une copie 35 mm nitrate teintée et coloriée au pinceau, à perforations Lumière, issue de la collection Auboin-Vermorel déposée à la Cinémathèque française. Cette restauration a reçu l'aide à la numérisation du CNC. Remerciements à Anaïs Desrieux (Institut Lumière). En 1897 déjà, à peine vingt-quatre mois après l'invention du cinématographe, les frères Lumière, à Lyon, lancent une série de « vues historiques et scènes reconstituées » dont les premiers résultats sont Signature du traité de Campo-Formio",1897,Entrevue de Napoléon et du pape,1897-01-01,Patrimônio cinematográfico e cinefilia,Arquivo audiovisual institucional
Cinémathèque française / Musée du cinéma,cin-math-que-fran-aise-mus-e-du-cin-ma,France,Europe,FR-CINEMATHEQUE-FRANCAISE,National cinematheque and online film streaming platform,https://www.cinematheque.fr/les-collections-de-la-cinematheque-francaise.html,True,True,https://www.cinematheque.fr/henri/,HENRI,https://player.vimeo.com/video/496860844?color=7db3af&texttrack=fr,Escamotage d'une dame chez Robert-Houdin,Georges Méliès; France / 1896 / 2:56,"Film publicado em HENRI, plataforma de streaming gratuito da Cinémathèque française. | embed: https://player.vimeo.com/video/496860844?color=7db3af&texttrack=fr | Avec Jehanne d'Alcy, Georges Méliès. 1896, Georges Méliès, magie et cinéma : Escamotage d'une dame chez Robert-Houdin est le premier film à trucs du cinéaste pionnier, où l'arrêt de la caméra se substitue au tour de magie pour créer l'illusion. Le film est précédé d'une démonstration du maniement de la première caméra de Georges Méliès.",1896,Escamotage d'une dame chez Robert-Houdin,1896-01-01,Patrimônio cinematográfico e cinefilia,Arquivo audiovisual institucional
Cinémathèque française / Musée du cinéma,cin-math-que-fran-aise-mus-e-du-cin-ma,France,Europe,FR-CINEMATHEQUE-FRANCAISE,National cinematheque and online film streaming platform,https://www.cinematheque.fr/les-collections-de-la-cinematheque-francaise.html,True,True,https://www.cinematheque.fr/henri/,HENRI,https://www.cinematheque.fr/henri/film/144590-films-de-paul-nadar-paul-nadar-1896-1898/,Films de Paul Nadar,Paul Nadar,Ficha pública HENRI da Cinémathèque française. duração: 13:16.,1896,Films de Paul Nadar,1896-01-01,Patrimônio cinematográfico e cinefilia,Arquivo audiovisual institucional
Cinémathèque française / Musée du cinéma,cin-math-que-fran-aise-mus-e-du-cin-ma,France,Europe,FR-CINEMATHEQUE-FRANCAISE,National cinematheque and online film streaming platform,https://www.cinematheque.fr/les-collections-de-la-cinematheque-francaise.html,True,True,https://www.cinematheque.fr/henri/,HENRI,https://player.vimeo.com/video/508006483?color=7db3af&texttrack=fr,Le Coucher de la mariée,Eugène Pirou; France / 1896 / 1:59 / Silencieux,"Film publicado em HENRI, plataforma de streaming gratuito da Cinémathèque française. | embed: https://player.vimeo.com/video/508006483?color=7db3af&texttrack=fr | Avec Louise Willy. Une jeune mariée se déshabille sous le regard impatient de son mari. La Cinémathèque française conserve deux copies noir et blanc du film d'Eugène Pirou au format Joly-Normandin. Il semblerait que les copies, d'origine inconnue, aient intégré les collections de la Cinémathèque française dès les années 1940, car Sadoul en parle dans son Histoire du cinéma mondial",1896,Le Coucher de la mariée,1896-01-01,Patrimônio cinematográfico e cinefilia,Arquivo audiovisual institucional
Cinémathèque française / Musée du cinéma,cin-math-que-fran-aise-mus-e-du-cin-ma,France,Europe,FR-CINEMATHEQUE-FRANCAISE,National cinematheque and online film streaming platform,https://www.cinematheque.fr/les-collections-de-la-cinematheque-francaise.html,True,True,https://www.cinematheque.fr/henri/,HENRI,https://www.cinematheque.fr/henri/film/84501-une-nuit-terrible-georges-melies-1896/,Une nuit terrible,Georges Méliès,Ficha pública HENRI da Cinémathèque française. duração: 1:54.,1896,Une nuit terrible,1896-01-01,Patrimônio cinematográfico e cinefilia,Arquivo audiovisual institucional
Cinémathèque française / Musée du cinéma,cin-math-que-fran-aise-mus-e-du-cin-ma,France,Europe,FR-CINEMATHEQUE-FRANCAISE,National cinematheque and online film streaming platform,https://www.cinematheque.fr/les-collections-de-la-cinematheque-francaise.html,True,True,https://www.cinematheque.fr/henri/,HENRI,https://player.vimeo.com/video/829418464?color=7db3af&texttrack=fr,"Baiser envolé, Clin d'éventail, Cancan",Georges Demenÿ; France / 1894 / 0:51 / Silencieux,"Film publicado em HENRI, plataforma de streaming gratuito da Cinémathèque française. | embed: https://player.vimeo.com/video/829418464?color=7db3af&texttrack=fr | « Avant même l'invention de la séance de cinéma publique, Georges Demenÿ explore la pulsion scopique et met en scène les gestes élémentaires de la séduction, étayés par William Heise puis narrativisés par Georges Méliès, Ferdinand Zecca, Alice Guy, avant que Luis Buñuel et Man Ray n'en affirment les puissances libertaires. Sur sa fondamentale scoptophilie, le cinéma aura donc toujours été transparent. » (Nicole Brenez, notes pour la rétrospective « L'image des plaisirs. Sexpérimentaux ») Films chronophotographiques numérisés et animés (à 5 i/s) par la Cinémathèque française d'après des éléments originaux confiés par l'INSEP. Le titre des films leur a été attribué dans les années 1990. Remerciements à Christophe Meunier (INSEP) et Stéphane Dabrowski (Cinémathèque française). Georges Demenÿ, glissements progressifs vers le plaisir Lorsqu'en 1882 le médecin Étienne-Jules Marey (1830-1904), créateur de la méthode graphique et de la chronophotographie, fonde la Station physiologique au bois de Boulogne, il trouve en Georges Demenÿ (Douai, 1850-Paris, 1917), recommandé par Paul Bert, un « préparateur » surdoué, une forte personnalité, excellent dessinateur, violoniste et expert en éducation physique. Le frère de Georges, Paul Demenÿ, est un poète, ami d'Arthur Rimbaud : la « Lettre du voyant » lui a été adressée en 1871.",1894,"Baiser envolé, Clin d'éventail, Cancan",1894-01-01,Patrimônio cinematográfico e cinefilia,Arquivo audiovisual institucional
Cinémathèque française / Musée du cinéma,cin-math-que-fran-aise-mus-e-du-cin-ma,France,Europe,FR-CINEMATHEQUE-FRANCAISE,National cinematheque and online film streaming platform,https://www.cinematheque.fr/les-collections-de-la-cinematheque-francaise.html,True,True,https://www.cinematheque.fr/henri/,HENRI,https://www.cinematheque.fr/henri/film/113597-films-chrono-photographiques-etienne-jules-marey-1889-1904/,Films chrono­photographiques,Étienne-Jules Marey,Ficha pública HENRI da Cinémathèque française. duração: 27:31.,1889,Films chrono­photographiques,1889-01-01,Patrimônio cinematográfico e cinefilia,Arquivo audiovisual institucional
Cinémathèque française / Musée du cinéma,cin-math-que-fran-aise-mus-e-du-cin-ma,France,Europe,FR-CINEMATHEQUE-FRANCAISE,National cinematheque and online film streaming platform,https://www.cinematheque.fr/les-collections-de-la-cinematheque-francaise.html,True,True,https://www.cinematheque.fr/henri/,HENRI,https://player.vimeo.com/video/900190070?color=7db3af&texttrack=fr,Le Cinéma des origines dans la collection Will Day,Auteurs divers; Grande-Bretagne - France - États-Unis / 1889-1912 / 20:47 / Silencieux,"Film publicado em HENRI, plataforma de streaming gratuito da Cinémathèque française. | embed: https://player.vimeo.com/video/900190070?color=7db3af&texttrack=fr | Montage de fragments uniques et des films de formats obsolètes, liés aux origines du cinéma britannique, français et américain, issus de la collection film Will Day conservée à la Cinémathèque française et au CNC. A montage of unique film fragments and films in obsolete formats, relating to the origins of British, French and American cinema, selected from the Will Day film collection preserved at the Cinémathèque française and the CNC. Le catalogage et la restauration de la collection film Will Day ont été réalisés par les Archives du film du CNC avec la collaboration de la Cinémathèque française, du NFTA/BFI, et l'aide du Projecto Lumière. Certains films 68 mm, 65 mm et 60 mm ont été restaurés par le procédé numérique Limelight, laboratoire Centrimage. Remerciements à Béatrice de Pastre (CNC) et Laurent Mannoni (Cinémathèque française). Belle figure quasi miraculeuse que celle de l'Anglais Wilfred E. Day (1873-1936), qui peut être considéré en Europe comme le premier collectionneur de films, d'appareils, de livres, de photographies, de documents relatifs au cinéma, et l'un des premiers historiens du septième art. Il occupe une place phare dans l'histoire des collections et des musées cinématographiques. Ce n'est que dans les années 1990 que l'on a pu comprendre l'ampleur de son œuvre, de son immense travail historique et patrimonial.",1889,Le Cinéma des origines dans la collection Will Day,1889-01-01,Patrimônio cinematográfico e cinefilia,Arquivo audiovisual institucional
Cinémathèque française / Musée du cinéma,cin-math-que-fran-aise-mus-e-du-cin-ma,France,Europe,FR-CINEMATHEQUE-FRANCAISE,National cinematheque and online film streaming platform,https://www.cinematheque.fr/les-collections-de-la-cinematheque-francaise.html,True,True,https://www.cinematheque.fr/henri/,HENRI,https://www.cinematheque.fr/henri/film/144818-incunables-de-l-animation-auteurs-divers-1833-1897/,Incunables de l'animation,Auteurs divers,Ficha pública HENRI da Cinémathèque française. duração: 18:25.,1833,Incunables de l'animation,1833-01-01,Patrimônio cinematográfico e cinefilia,Arquivo audiovisual institucional
Cinémathèque française / Musée du cinéma,cin-math-que-fran-aise-mus-e-du-cin-ma,France,Europe,FR-CINEMATHEQUE-FRANCAISE,National cinematheque and online film streaming platform,https://www.cinematheque.fr/les-collections-de-la-cinematheque-francaise.html,True,True,https://www.cinematheque.fr/henri/,HENRI,https://player.vimeo.com/video/1186272940?color=7db3af&texttrack=fr,"Albert Londe (1842-1917). Une préhistoire du cinéma, épisode 3",,"Film publicado em HENRI, plataforma de streaming gratuito da Cinémathèque française. | embed: https://player.vimeo.com/video/1186272940?color=7db3af&texttrack=fr",,"Albert Londe (1842-1917). Une préhistoire du cinéma, épisode 3",,Patrimônio cinematográfico e cinefilia,Arquivo audiovisual institucional
Cinémathèque française / Musée du cinéma,cin-math-que-fran-aise-mus-e-du-cin-ma,France,Europe,FR-CINEMATHEQUE-FRANCAISE,National cinematheque and online film streaming platform,https://www.cinematheque.fr/les-collections-de-la-cinematheque-francaise.html,True,True,https://www.cinematheque.fr/henri/,HENRI,https://player.vimeo.com/video/545355557?color=7db3af&texttrack=fr,De Méliès à la 3D : La Machine cinéma. Parcours Steadicam de l'exposition,,"Film publicado em HENRI, plataforma de streaming gratuito da Cinémathèque française. | embed: https://player.vimeo.com/video/545355557?color=7db3af&texttrack=fr",,De Méliès à la 3D : La Machine cinéma. Parcours Steadicam de l'exposition,,Patrimônio cinematográfico e cinefilia,Arquivo audiovisual institucional
Cinémathèque française / Musée du cinéma,cin-math-que-fran-aise-mus-e-du-cin-ma,France,Europe,FR-CINEMATHEQUE-FRANCAISE,National cinematheque and online film streaming platform,https://www.cinematheque.fr/les-collections-de-la-cinematheque-francaise.html,True,True,https://www.cinematheque.fr/henri/,HENRI,https://player.vimeo.com/video/1187258866?color=7db3af&texttrack=fr,"Georges Demenÿ (1850-1917), l'homme aux portraits vivants. Une préhistoire du cinéma, épisode 5",,"Film publicado em HENRI, plataforma de streaming gratuito da Cinémathèque française. | embed: https://player.vimeo.com/video/1187258866?color=7db3af&texttrack=fr",,"Georges Demenÿ (1850-1917), l'homme aux portraits vivants. Une préhistoire du cinéma, épisode 5",,Patrimônio cinematográfico e cinefilia,Arquivo audiovisual institucional
Cinémathèque française / Musée du cinéma,cin-math-que-fran-aise-mus-e-du-cin-ma,France,Europe,FR-CINEMATHEQUE-FRANCAISE,National cinematheque and online film streaming platform,https://www.cinematheque.fr/les-collections-de-la-cinematheque-francaise.html,True,True,https://www.cinematheque.fr/henri/,HENRI,https://player.vimeo.com/video/1186275315?color=7db3af&texttrack=fr,"L'Expression des passions : Duchenne de Boulogne (1806-1876). Une préhistoire du cinéma, épisode 2",,"Film publicado em HENRI, plataforma de streaming gratuito da Cinémathèque française. | embed: https://player.vimeo.com/video/1186275315?color=7db3af&texttrack=fr",,"L'Expression des passions : Duchenne de Boulogne (1806-1876). Une préhistoire du cinéma, épisode 2",,Patrimônio cinematográfico e cinefilia,Arquivo audiovisual institucional
Cinémathèque française / Musée du cinéma,cin-math-que-fran-aise-mus-e-du-cin-ma,France,Europe,FR-CINEMATHEQUE-FRANCAISE,National cinematheque and online film streaming platform,https://www.cinematheque.fr/les-collections-de-la-cinematheque-francaise.html,True,True,https://www.cinematheque.fr/henri/,HENRI,https://player.vimeo.com/video/1136142563?color=7db3af&texttrack=fr,"La Petite enfance du cinéma (1830-1895). Une préhistoire du cinéma, épisode 1",,"Film publicado em HENRI, plataforma de streaming gratuito da Cinémathèque française. | embed: https://player.vimeo.com/video/1136142563?color=7db3af&texttrack=fr",,"La Petite enfance du cinéma (1830-1895). Une préhistoire du cinéma, épisode 1",,Patrimônio cinematográfico e cinefilia,Arquivo audiovisual institucional
Cinémathèque française / Musée du cinéma,cin-math-que-fran-aise-mus-e-du-cin-ma,France,Europe,FR-CINEMATHEQUE-FRANCAISE,National cinematheque and online film streaming platform,https://www.cinematheque.fr/les-collections-de-la-cinematheque-francaise.html,True,True,https://www.cinematheque.fr/henri/,HENRI,https://www.cinematheque.fr/henri/film/155687-the-merchant-of-venice-rushes-orson-welles-c-1970/,The Merchant of Venice (Rushes),,Ficha pública HENRI da Cinémathèque française. duração: 30:28.,,The Merchant of Venice (Rushes),,Patrimônio cinematográfico e cinefilia,Arquivo audiovisual institucional
Cinémathèque française / Musée du cinéma,cin-math-que-fran-aise-mus-e-du-cin-ma,France,Europe,FR-CINEMATHEQUE-FRANCAISE,National cinematheque and online film streaming platform,https://www.cinematheque.fr/les-collections-de-la-cinematheque-francaise.html,True,True,https://www.cinematheque.fr/henri/,HENRI,https://player.vimeo.com/video/1136148683?color=7db3af&texttrack=fr,"Émile Reynaud (1844-1918) ou les pantomimes lumineuses. Une préhistoire du cinéma, épisode 6",,"Film publicado em HENRI, plataforma de streaming gratuito da Cinémathèque française. | embed: https://player.vimeo.com/video/1136148683?color=7db3af&texttrack=fr",,"Émile Reynaud (1844-1918) ou les pantomimes lumineuses. Une préhistoire du cinéma, épisode 6",,Patrimônio cinematográfico e cinefilia,Arquivo audiovisual institucional
Cinémathèque française / Musée du cinéma,cin-math-que-fran-aise-mus-e-du-cin-ma,France,Europe,FR-CINEMATHEQUE-FRANCAISE,National cinematheque and online film streaming platform,https://www.cinematheque.fr/les-collections-de-la-cinematheque-francaise.html,True,True,https://www.cinematheque.fr/henri/,HENRI,https://player.vimeo.com/video/1136153367?color=7db3af&texttrack=fr,"Étienne-Jules Marey (1830-1904). Une préhistoire du cinéma, épisode 4",,"Film publicado em HENRI, plataforma de streaming gratuito da Cinémathèque française. | embed: https://player.vimeo.com/video/1136153367?color=7db3af&texttrack=fr",,"Étienne-Jules Marey (1830-1904). Une préhistoire du cinéma, épisode 4",,Patrimônio cinematográfico e cinefilia,Arquivo audiovisual institucional
