tema,tipo_institucional,total
Digitalização e acesso,Local audiovisual archive with public film catalog,374
Visita e descoberta do arquivo,Local audiovisual archive with public film catalog,70
Apresentação institucional,Local audiovisual archive with public film catalog,29
Divulgação de serviços e projetos,Local audiovisual archive with public film catalog,6
