tema,pais,total
História e pesquisa,Portugal,37
Acervo e patrimônio,Portugal,24
Digitalização e acesso,Portugal,17
Divulgação de serviços e projetos,Portugal,6
Comunicação institucional,Portugal,4
Música e performance,Portugal,2
Visita e descoberta do arquivo,Portugal,2
Apresentação institucional,Portugal,1
Exposições e eventos,Portugal,1
