tema,pais,total
Esporte e cultura física,Bulgaria,25
"Cultura, música e artes",Bulgaria,9
"História, memória e patrimônio",Bulgaria,9
"Cotidiano, saúde e território",Bulgaria,1
Registro audiovisual televisivo público,Bulgaria,1
