tema,pais,total
Comunicação institucional,Netherlands,60
Música e performance,Netherlands,23
Divulgação de serviços e projetos,Netherlands,12
Exposições e eventos,Netherlands,10
História e pesquisa,Netherlands,6
"Memória, narrativa e testemunho",Netherlands,6
Visita e descoberta do arquivo,Netherlands,6
Coleções e serviços,Netherlands,5
Formação e mediação,Netherlands,3
Apresentação institucional,Netherlands,2
