tema,plataforma,total
"Território, cidade e memória local",Cinémathèque de Nouvelle-Aquitaine,27
Arquivo audiovisual regional,Cinémathèque de Nouvelle-Aquitaine,18
"Documentário, cotidiano e memória local",Cinémathèque de Nouvelle-Aquitaine,17
Filme amador e memória local,Cinémathèque de Nouvelle-Aquitaine,9
Patrimônio cinematográfico regional,Cinémathèque de Nouvelle-Aquitaine,1
