tema,plataforma,total
"Cultura, artes e patrimônio audiovisual",DRTV/Gensyn,217
Documentário e registro histórico,DRTV/Gensyn,124
Arquivo televisivo público,DRTV/Gensyn,56
"Televisão, entretenimento e memória popular",DRTV/Gensyn,56
