dataset,observation_key,snapshot_generated_at,source_status_date,raw_outputs_last_modified_at,analytic_outputs_last_modified_at,generated_by,institutions,institutions_with_website,institutions_with_video_links,video_links_total,videos_in_curatorial_catalog,visibility_categories,theme_categories,archive_type_categories,platforms_detected,countries_with_videos
filmmuseum_dusseldorf,filmmuseum_dusseldorf:2026-07-16T17:32:08Z,2026-07-16T17:32:09Z,,2026-07-16T17:32:08Z,2026-07-16T17:32:07Z,scripts/run_filmmuseum_dusseldorf_pipeline.py,1,1,1,300,300,1,3,1,1,1
filmmuseum_dusseldorf,filmmuseum_dusseldorf:2026-07-16T17:38:18Z,2026-07-16T17:38:18Z,,2026-07-16T17:38:18Z,2026-07-16T17:38:17Z,scripts/run_filmmuseum_dusseldorf_pipeline.py,1,1,1,300,300,1,3,1,1,1
filmmuseum_dusseldorf,filmmuseum_dusseldorf:2026-07-16T17:46:05Z,2026-07-16T17:46:05Z,,2026-07-16T17:46:05Z,2026-07-16T17:46:04Z,scripts/run_filmmuseum_dusseldorf_pipeline.py,1,1,1,300,300,1,3,1,1,1
