tema,tipo_institucional,total
Esporte e cultura física,Public television audiovisual archive,25
"Cultura, música e artes",Public television audiovisual archive,9
"História, memória e patrimônio",Public television audiovisual archive,9
"Cotidiano, saúde e território",Public television audiovisual archive,1
Registro audiovisual televisivo público,Public television audiovisual archive,1
