tema,tipo_institucional,total
Documentário e registro histórico,Institutional film and audiovisual archive,66
Filme amador e memória familiar,Institutional film and audiovisual archive,26
Ficção cinematográfica,Institutional film and audiovisual archive,3
Registro audiovisual em catálogo,Institutional film and audiovisual archive,2
