tema,pais,total
Esporte e cultura física,Spain,92
Patrimônio cinematográfico regional,Spain,22
"Cotidiano, território e memória local",Spain,21
Preservação e conservação,Spain,7
"Guerra, memória política e história",Spain,6
Cinema basco e memória cultural,Spain,1
