institution,slug,country,continent,repository_code,archive_type,eye_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at,video_title_display,video_date_display,video_theme,access_surface
Eye Filmmuseum,eye-filmmuseum,Netherlands,Europe,NL-EYE,National film museum with public film-fragment catalogue,https://www.eyefilm.nl/en/collection/research,True,True,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/all/all?f%5B0%5D=field_cm_media_filter%3Awith%20film%20fragment,Eye Filmdatabase,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/lustrumfeesten-te-delft,Lustrumfeesten te Delft,film fragment; Dutch film history; Eye Filmdatabase,Ficha pública do Eye Filmdatabase filtrada por registros com fragmento de filme. | A listagem oficial declara presença de film fragment; a ficha é o local público do player.,,Lustrumfeesten te Delft,,Registro audiovisual em arquivo fílmico,Arquivo audiovisual institucional
Eye Filmmuseum,eye-filmmuseum,Netherlands,Europe,NL-EYE,National film museum with public film-fragment catalogue,https://www.eyefilm.nl/en/collection/research,True,True,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/all/all?f%5B0%5D=field_cm_media_filter%3Awith%20film%20fragment,Eye Filmdatabase,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/de-maasbrug-te-rotterdam-omstreeks-1901,"Maasbrug te Rotterdam omstreeks 1901, De",film fragment; Dutch film history; Eye Filmdatabase,Ficha pública do Eye Filmdatabase filtrada por registros com fragmento de filme. | A listagem oficial declara presença de film fragment; a ficha é o local público do player. | thumbnail: https://filmdatabase.eyefilm.nl/files/filmdatabase/styles/220_260_manual_crop/public/afbeeldingen/collectie_redactioneel/de_maasbrug_te_rotterdam_omstreeks_1901_flm40027_0.png?itok=3VwACTOK,,"Maasbrug te Rotterdam omstreeks 1901, De",,Registro audiovisual em arquivo fílmico,Arquivo audiovisual institucional
Eye Filmmuseum,eye-filmmuseum,Netherlands,Europe,NL-EYE,National film museum with public film-fragment catalogue,https://www.eyefilm.nl/en/collection/research,True,True,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/all/all?f%5B0%5D=field_cm_media_filter%3Awith%20film%20fragment,Eye Filmdatabase,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/de-maasbruggen,"Maasbruggen, De",film fragment; Dutch film history; Eye Filmdatabase,Ficha pública do Eye Filmdatabase filtrada por registros com fragmento de filme. | A listagem oficial declara presença de film fragment; a ficha é o local público do player. | thumbnail: https://filmdatabase.eyefilm.nl/files/filmdatabase/styles/220_260_manual_crop/public/afbeeldingen/collectie_redactioneel/40028_maasbruggen.1.jpg?itok=rSOodLeU,,"Maasbruggen, De",,Registro audiovisual em arquivo fílmico,Arquivo audiovisual institucional
Eye Filmmuseum,eye-filmmuseum,Netherlands,Europe,NL-EYE,National film museum with public film-fragment catalogue,https://www.eyefilm.nl/en/collection/research,True,True,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/all/all?f%5B0%5D=field_cm_media_filter%3Awith%20film%20fragment,Eye Filmdatabase,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/maastricht-1920,Maastricht (1920),film fragment; Dutch film history; Eye Filmdatabase,Ficha pública do Eye Filmdatabase filtrada por registros com fragmento de filme. | A listagem oficial declara presença de film fragment; a ficha é o local público do player. | thumbnail: https://filmdatabase.eyefilm.nl/files/filmdatabase/styles/220_260_manual_crop/public/collectie/collectiefotos/40032%20Maastricht%2014058_0.JPG?itok=3r3ub1jB,,Maastricht (1920),,Registro audiovisual em arquivo fílmico,Arquivo audiovisual institucional
Eye Filmmuseum,eye-filmmuseum,Netherlands,Europe,NL-EYE,National film museum with public film-fragment catalogue,https://www.eyefilm.nl/en/collection/research,True,True,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/all/all?f%5B0%5D=field_cm_media_filter%3Awith%20film%20fragment,Eye Filmdatabase,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/de-macht-der-twee,"Macht der twee, De",film fragment; Dutch film history; Eye Filmdatabase,Ficha pública do Eye Filmdatabase filtrada por registros com fragmento de filme. | A listagem oficial declara presença de film fragment; a ficha é o local público do player. | thumbnail: https://filmdatabase.eyefilm.nl/files/filmdatabase/styles/220_260_manual_crop/public/afbeeldingen/collectie_redactioneel/1411091313_s01_macht_der_twee-still_011.jpg?itok=rlIcp1c2,,"Macht der twee, De",,Registro audiovisual em arquivo fílmico,Arquivo audiovisual institucional
Eye Filmmuseum,eye-filmmuseum,Netherlands,Europe,NL-EYE,National film museum with public film-fragment catalogue,https://www.eyefilm.nl/en/collection/research,True,True,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/all/all?f%5B0%5D=field_cm_media_filter%3Awith%20film%20fragment,Eye Filmdatabase,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/mad-nest,Mad Nest,film fragment; Dutch film history; Eye Filmdatabase,Ficha pública do Eye Filmdatabase filtrada por registros com fragmento de filme. | A listagem oficial declara presença de film fragment; a ficha é o local público do player. | thumbnail: https://filmdatabase.eyefilm.nl/files/filmdatabase/styles/220_260_manual_crop/public/afbeeldingen/collectie_redactioneel/138678_mad_nest.1.jpg?itok=enorxz54,,Mad Nest,,Registro audiovisual em arquivo fílmico,Arquivo audiovisual institucional
Eye Filmmuseum,eye-filmmuseum,Netherlands,Europe,NL-EYE,National film museum with public film-fragment catalogue,https://www.eyefilm.nl/en/collection/research,True,True,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/all/all?f%5B0%5D=field_cm_media_filter%3Awith%20film%20fragment,Eye Filmdatabase,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/madseeing,Madseeing,film fragment; Dutch film history; Eye Filmdatabase,Ficha pública do Eye Filmdatabase filtrada por registros com fragmento de filme. | A listagem oficial declara presença de film fragment; a ficha é o local público do player. | thumbnail: https://filmdatabase.eyefilm.nl/files/filmdatabase/styles/220_260_manual_crop/public/afbeeldingen/collectie_redactioneel/40237_madseeing.1.jpg?itok=kQxofIzV,,Madseeing,,Registro audiovisual em arquivo fílmico,Arquivo audiovisual institucional
Eye Filmmuseum,eye-filmmuseum,Netherlands,Europe,NL-EYE,National film museum with public film-fragment catalogue,https://www.eyefilm.nl/en/collection/research,True,True,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/all/all?f%5B0%5D=field_cm_media_filter%3Awith%20film%20fragment,Eye Filmdatabase,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/majoor-frans,Majoor Frans,film fragment; Dutch film history; Eye Filmdatabase,Ficha pública do Eye Filmdatabase filtrada por registros com fragmento de filme. | A listagem oficial declara presença de film fragment; a ficha é o local público do player. | thumbnail: https://filmdatabase.eyefilm.nl/files/filmdatabase/styles/220_260_manual_crop/public/collectie/collectiefotos/photo50684_0.jpg?itok=Fq-zv3yn,,Majoor Frans,,Registro audiovisual em arquivo fílmico,Arquivo audiovisual institucional
Eye Filmmuseum,eye-filmmuseum,Netherlands,Europe,NL-EYE,National film museum with public film-fragment catalogue,https://www.eyefilm.nl/en/collection/research,True,True,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/all/all?f%5B0%5D=field_cm_media_filter%3Awith%20film%20fragment,Eye Filmdatabase,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/mal-ander,Mal-ander,film fragment; Dutch film history; Eye Filmdatabase,Ficha pública do Eye Filmdatabase filtrada por registros com fragmento de filme. | A listagem oficial declara presença de film fragment; a ficha é o local público do player. | thumbnail: https://filmdatabase.eyefilm.nl/files/filmdatabase/styles/220_260_manual_crop/public/flm127924_mal-ander-01.jpg?itok=eMjLwnbB,,Mal-ander,,Registro audiovisual em arquivo fílmico,Arquivo audiovisual institucional
Eye Filmmuseum,eye-filmmuseum,Netherlands,Europe,NL-EYE,National film museum with public film-fragment catalogue,https://www.eyefilm.nl/en/collection/research,True,True,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/all/all?f%5B0%5D=field_cm_media_filter%3Awith%20film%20fragment,Eye Filmdatabase,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/malle-gevallen,Malle gevallen,film fragment; Dutch film history; Eye Filmdatabase,Ficha pública do Eye Filmdatabase filtrada por registros com fragmento de filme. | A listagem oficial declara presença de film fragment; a ficha é o local público do player. | thumbnail: https://filmdatabase.eyefilm.nl/files/filmdatabase/styles/220_260_manual_crop/public/collectie/collectiefotos/photo11260_0.jpg?itok=Yrerpi27,,Malle gevallen,,Registro audiovisual em arquivo fílmico,Arquivo audiovisual institucional
