tema,plataforma,total
História e pesquisa,PLATFO FILMO,220
Comunicação institucional,PLATFO FILMO,41
Exposições e eventos,PLATFO FILMO,21
Preservação e conservação,PLATFO FILMO,19
Digitalização e acesso,PLATFO FILMO,16
Música e performance,PLATFO FILMO,15
Divulgação de serviços e projetos,PLATFO FILMO,5
Formação e mediação,PLATFO FILMO,3
Acervo e patrimônio,PLATFO FILMO,2
Apresentação institucional,PLATFO FILMO,2
