tema,plataforma,total
Esporte e cultura física,BNT.bg,25
"Cultura, música e artes",BNT.bg,9
"História, memória e patrimônio",BNT.bg,9
"Cotidiano, saúde e território",BNT.bg,1
Registro audiovisual televisivo público,BNT.bg,1
