dataset,observation_key,snapshot_generated_at,source_status_date,raw_outputs_last_modified_at,analytic_outputs_last_modified_at,generated_by,institutions,institutions_with_website,institutions_with_video_links,video_links_total,videos_in_curatorial_catalog,visibility_categories,theme_categories,archive_type_categories,platforms_detected,countries_with_videos
ina,ina:2026-05-05T16:10:46Z,2026-05-05T19:34:13Z,,2026-05-05T16:10:46Z,2026-05-05T19:34:13Z,scripts/build_ina_analytics.py,1,1,1,75,75,1,12,1,4,1
ina,ina:2026-05-08T18:41:39Z,2026-05-08T18:41:39Z,,2026-05-08T18:41:39Z,2026-05-08T18:41:39Z,scripts/run_ina_pipeline.py,1,1,1,77,77,1,12,1,3,1
ina,ina:2026-05-22T17:56:05Z,2026-05-27T16:48:01Z,,2026-05-22T17:56:05Z,2026-05-27T16:48:01Z,scripts/build_ina_analytics.py,1,1,1,73,73,1,11,1,2,1
