dataset,observation_key,snapshot_generated_at,source_status_date,raw_outputs_last_modified_at,analytic_outputs_last_modified_at,generated_by,institutions,institutions_with_website,institutions_with_video_links,video_links_total,videos_in_curatorial_catalog,visibility_categories,theme_categories,archive_type_categories,platforms_detected,countries_with_videos
pares,pares:2026-05-14T17:52:45Z,2026-05-14T17:52:45Z,,2026-05-14T17:52:45Z,2026-05-14T17:52:45Z,scripts/run_pares_pipeline.py,1,1,1,100,100,1,4,1,1,1
pares,pares:2026-05-14T17:54:33Z,2026-05-14T17:54:33Z,,2026-05-14T17:54:33Z,2026-05-14T17:54:32Z,scripts/run_pares_pipeline.py,1,1,1,100,100,1,5,1,1,1
pares,pares:2026-05-14T17:55:12Z,2026-05-14T18:03:48Z,,2026-05-14T17:55:12Z,2026-05-14T18:03:48Z,scripts/build_pares_analytics.py,1,1,1,100,100,1,5,1,1,1
pares,pares:2026-05-22T17:51:55Z,2026-05-27T16:48:07Z,,2026-05-22T17:51:55Z,2026-05-27T16:48:07Z,scripts/build_pares_analytics.py,1,1,1,75,75,1,5,1,1,1
