tema,tipo_institucional,total
Filme amador e memória familiar,Institutional amateur film and audiovisual archive,25
"Documentário, cotidiano e memória local",Institutional amateur film and audiovisual archive,10
"Território, cidade e memória local",Institutional amateur film and audiovisual archive,1
