tema,plataforma,total
Ficção cinematográfica,Vimeo / Restauraciones Filmoteca Valenciana,45
"Festas, cultura popular e memória local",Vimeo / Restauraciones Filmoteca Valenciana,10
"Trabalho, indústria e território",Vimeo / Restauraciones Filmoteca Valenciana,6
"Vida pública, política e história",Vimeo / Restauraciones Filmoteca Valenciana,5
Cinema doméstico e memória familiar,Vimeo / Restauraciones Filmoteca Valenciana,4
