tema,tipo_institucional,total
"Trabalho, indústria e infraestrutura",National audiovisual archive,32
Programação televisiva e memória da mídia,National audiovisual archive,12
Catálogo audiovisual nacional,National audiovisual archive,11
"Vida pública, política e história",National audiovisual archive,11
"Território, cidade e memória nacional",National audiovisual archive,7
Esporte e cultura física,National audiovisual archive,6
