tema,total
"Cinejornal, atualidades e história pública",2569
Documentário e registro histórico,556
Animação,327
Ficção cinematográfica,203
Patrimônio fílmico estoniano,90
Publicidade e cultura comercial,50
"Cinema experimental, curta e formação",44
