tema,pais,total
Memória audiovisual militar e institucional,France,16088
"Conflitos, defesa e operações militares",France,7307
"Tecnologia, armamentos e infraestrutura militar",France,4363
"Memória militar, cerimônias e comemorações",France,3714
"Treinamento, doutrina e vida militar",France,3625
"Fundos cinematográficos, memória privada e colonial",France,929
