tema,tipo_institucional,total
Comunicação institucional,National audiovisual aggregator,16
Formação e mediação,National audiovisual aggregator,8
História e pesquisa,National audiovisual aggregator,2
Divulgação de serviços e projetos,National audiovisual aggregator,1
Música e performance,National audiovisual aggregator,1
