institution,slug,country,continent,repository_code,archive_type,estonian_film_archive_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Film Archive of the National Archives of Estonia,film-archive-of-the-national-archives-of-estonia,Estonia,Europe,EE-RA-EFA,National film archive with public audiovisual streaming catalogue,https://www.ra.ee/en/film-photo-audio/film/,True,True,https://arkaader.ee/landing/br/rHczO7kKnl/pbOiQfMOLr,https://vl-prod.s3.eu-north-1.amazonaws.com/visitor-data/p/0026558e-3439-4133-a1a3-1d43d689ef7d/en/movies.json,ok,200,3980,3980,Metadados públicos do Arkaader; nem toda ficha possui transmissão audiovisual pública.,
Film Archive of the National Archives of Estonia,film-archive-of-the-national-archives-of-estonia,Estonia,Europe,EE-RA-EFA,National film archive with public audiovisual streaming catalogue,https://www.ra.ee/en/film-photo-audio/film/,True,True,https://arkaader.ee/landing/br/rHczO7kKnl/pbOiQfMOLr,https://arkaader.ee/api/broadcasts,ok,200,3841,3841,"API pública de broadcasts do Arkaader com tokens, preços, acesso livre/pago e georrestrição.",
