tema,tipo_institucional,total
Comunicação institucional,European cultural aggregator with audiovisual records,14
Coleções e serviços,European cultural aggregator with audiovisual records,3
Apresentação institucional,European cultural aggregator with audiovisual records,1
Digitalização e acesso,European cultural aggregator with audiovisual records,1
História e pesquisa,European cultural aggregator with audiovisual records,1
