dataset,observation_key,snapshot_generated_at,source_status_date,generated_by,institution,slug,repository_code,country,continent,archive_type,website_available,partner_site,partner_domain,status,http_code,integrity_status,availability_group,audiovisual_visibility,access_regime,video_links_found_total,embedded_video_signals_total,candidate_internal_pages,final_url
europeana,europeana:2026-05-18T17:20:27Z,2026-05-18T17:20:27Z,,scripts/run_europeana_pipeline.py,Europeana,europeana,EU-EUROPEANA,Netherlands,Europe,European cultural aggregator with audiovisual records,True,https://www.europeana.eu/,europeana.eu,ok,200,integro,Disponível,Evidência pública detectável de audiovisual,Acesso por agregador cultural europeu com recorte audiovisual,32,1276739,6,https://www.europeana.eu/
europeana,europeana:2026-05-18T17:21:41Z,2026-05-18T17:21:41Z,,scripts/run_europeana_pipeline.py,Europeana,europeana,EU-EUROPEANA,Netherlands,Europe,European cultural aggregator with audiovisual records,True,https://www.europeana.eu/,europeana.eu,ok,200,integro,Disponível,Evidência pública detectável de audiovisual,Acesso por agregador cultural europeu com recorte audiovisual,27,1276739,6,https://www.europeana.eu/
europeana,europeana:2026-05-18T17:23:10Z,2026-05-18T17:23:10Z,,scripts/run_europeana_pipeline.py,Europeana,europeana,EU-EUROPEANA,Netherlands,Europe,European cultural aggregator with audiovisual records,True,https://www.europeana.eu/,europeana.eu,ok,200,integro,Disponível,Evidência pública detectável de audiovisual,Acesso por agregador cultural europeu com recorte audiovisual,27,1276739,6,https://www.europeana.eu/
europeana,europeana:2026-05-18T17:28:44Z,2026-05-18T17:28:44Z,,scripts/run_europeana_pipeline.py,Europeana,europeana,EU-EUROPEANA,Netherlands,Europe,European cultural aggregator with audiovisual records,True,https://www.europeana.eu/,europeana.eu,ok,200,integro,Disponível,Evidência pública detectável de audiovisual,Acesso por agregador cultural europeu com recorte audiovisual,27,1276739,6,https://www.europeana.eu/
europeana,europeana:2026-05-22T17:52:25Z,2026-05-27T16:48:05Z,,scripts/build_europeana_analytics.py,Europeana,europeana,EU-EUROPEANA,Netherlands,Europe,European cultural aggregator with audiovisual records,True,https://www.europeana.eu/,europeana.eu,ok,200,integro,Disponível,Evidência pública detectável de audiovisual,Acesso por agregador cultural europeu com recorte audiovisual,20,514205,5,https://www.europeana.eu/
