tema,tipo_institucional,total
"Território, cidade e memória local",Regional audiovisual and amateur film archive,27
Arquivo audiovisual regional,Regional audiovisual and amateur film archive,18
"Documentário, cotidiano e memória local",Regional audiovisual and amateur film archive,17
Filme amador e memória local,Regional audiovisual and amateur film archive,9
Patrimônio cinematográfico regional,Regional audiovisual and amateur film archive,1
