tema,pais,total
Comunicação institucional,Sweden,8
Comunicação institucional,Spain,5
Apresentação institucional,Cyprus,1
Coleções e serviços,Germany,1
Coleções e serviços,Poland,1
Coleções e serviços,Spain,1
Comunicação institucional,France,1
Digitalização e acesso,Netherlands,1
História e pesquisa,Belgium,1
