tema,plataforma,total
Digitalização e acesso,Mediaclip INA,28
Comunicação institucional,Madelen,23
Visita e descoberta do arquivo,Madelen,4
Coleções e serviços,Madelen,3
Música e performance,Madelen,3
Tema não identificado,Mediaclip INA,3
Apresentação institucional,Madelen,2
Exposições e eventos,Madelen,2
Formação e mediação,Madelen,2
História e pesquisa,Madelen,2
Acervo e patrimônio,Madelen,1
