tema,tipo_institucional,total
"Cotidiano, território e memória urbana",Film museum archive with public metadata catalogue and restricted media access,224
"Publicidade, indústria e cultura comercial",Film museum archive with public metadata catalogue and restricted media access,45
Filme amador e memória familiar,Film museum archive with public metadata catalogue and restricted media access,31
