institution,slug,country,continent,repository_code,archive_type,barch_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Bundesarchiv,bundesarchiv,Germany,Europe,DE-BArch,Federal archive with film archive holdings,https://www.bundesarchiv.de/en/research-our-records/research-by-media-type/films/,True,True,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv?page=9%2C0%2C0,ok,200,8,8,Página 10 da coleção Bundesarchiv no EFG; 179 resultados de vídeo anunciados.,
Bundesarchiv,bundesarchiv,Germany,Europe,DE-BArch,Federal archive with film archive holdings,https://www.bundesarchiv.de/en/research-our-records/research-by-media-type/films/,True,True,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv?page=10%2C0%2C0,ok,200,8,8,Página 11 da coleção Bundesarchiv no EFG; 179 resultados de vídeo anunciados.,
Bundesarchiv,bundesarchiv,Germany,Europe,DE-BArch,Federal archive with film archive holdings,https://www.bundesarchiv.de/en/research-our-records/research-by-media-type/films/,True,True,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv?page=11%2C0%2C0,ok,200,8,8,Página 12 da coleção Bundesarchiv no EFG; 179 resultados de vídeo anunciados.,
Bundesarchiv,bundesarchiv,Germany,Europe,DE-BArch,Federal archive with film archive holdings,https://www.bundesarchiv.de/en/research-our-records/research-by-media-type/films/,True,True,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv?page=12%2C0%2C0,ok,200,8,8,Página 13 da coleção Bundesarchiv no EFG; 179 resultados de vídeo anunciados.,
Bundesarchiv,bundesarchiv,Germany,Europe,DE-BArch,Federal archive with film archive holdings,https://www.bundesarchiv.de/en/research-our-records/research-by-media-type/films/,True,True,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv?page=13%2C0%2C0,ok,200,8,8,Página 14 da coleção Bundesarchiv no EFG; 179 resultados de vídeo anunciados.,
Bundesarchiv,bundesarchiv,Germany,Europe,DE-BArch,Federal archive with film archive holdings,https://www.bundesarchiv.de/en/research-our-records/research-by-media-type/films/,True,True,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv?page=14%2C0%2C0,ok,200,8,8,Página 15 da coleção Bundesarchiv no EFG; 179 resultados de vídeo anunciados.,
Bundesarchiv,bundesarchiv,Germany,Europe,DE-BArch,Federal archive with film archive holdings,https://www.bundesarchiv.de/en/research-our-records/research-by-media-type/films/,True,True,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv?page=15%2C0%2C0,ok,200,8,8,Página 16 da coleção Bundesarchiv no EFG; 179 resultados de vídeo anunciados.,
Bundesarchiv,bundesarchiv,Germany,Europe,DE-BArch,Federal archive with film archive holdings,https://www.bundesarchiv.de/en/research-our-records/research-by-media-type/films/,True,True,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv?page=16%2C0%2C0,ok,200,8,8,Página 17 da coleção Bundesarchiv no EFG; 179 resultados de vídeo anunciados.,
Bundesarchiv,bundesarchiv,Germany,Europe,DE-BArch,Federal archive with film archive holdings,https://www.bundesarchiv.de/en/research-our-records/research-by-media-type/films/,True,True,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv?page=17%2C0%2C0,ok,200,8,8,Página 18 da coleção Bundesarchiv no EFG; 179 resultados de vídeo anunciados.,
Bundesarchiv,bundesarchiv,Germany,Europe,DE-BArch,Federal archive with film archive holdings,https://www.bundesarchiv.de/en/research-our-records/research-by-media-type/films/,True,True,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv?page=18%2C0%2C0,ok,200,8,8,Página 19 da coleção Bundesarchiv no EFG; 179 resultados de vídeo anunciados.,
Bundesarchiv,bundesarchiv,Germany,Europe,DE-BArch,Federal archive with film archive holdings,https://www.bundesarchiv.de/en/research-our-records/research-by-media-type/films/,True,True,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv?page=19%2C0%2C0,ok,200,8,8,Página 20 da coleção Bundesarchiv no EFG; 179 resultados de vídeo anunciados.,
Bundesarchiv,bundesarchiv,Germany,Europe,DE-BArch,Federal archive with film archive holdings,https://www.bundesarchiv.de/en/research-our-records/research-by-media-type/films/,True,True,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv?page=20%2C0%2C0,ok,200,8,8,Página 21 da coleção Bundesarchiv no EFG; 179 resultados de vídeo anunciados.,
Bundesarchiv,bundesarchiv,Germany,Europe,DE-BArch,Federal archive with film archive holdings,https://www.bundesarchiv.de/en/research-our-records/research-by-media-type/films/,True,True,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv?page=21%2C0%2C0,ok,200,8,8,Página 22 da coleção Bundesarchiv no EFG; 179 resultados de vídeo anunciados.,
Bundesarchiv,bundesarchiv,Germany,Europe,DE-BArch,Federal archive with film archive holdings,https://www.bundesarchiv.de/en/research-our-records/research-by-media-type/films/,True,True,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv?page=22%2C0%2C0,ok,200,1,1,Página 23 da coleção Bundesarchiv no EFG; 179 resultados de vídeo anunciados.,
