institution,slug,country,continent,repository_code,archive_type,luce_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Cinecittà - Archivio Luce,cinecitt-archivio-luce,Italy,Europe,IT-CINECITTA-LUCE,Historical film and audiovisual archive,https://www.archivioluce.com/,True,True,https://patrimonio.archivioluce.com/luce-web/search/result.html?query=&jsonVal=%7B%22jsonVal%22%3A%7B%22startDate%22%3A%22%22%2C%22endDate%22%3A%22%22%2C%22fieldDate%22%3A%22dataNormal%22%2C%22_perPage%22%3A20%2C%22archiveType_string%22%3A%22%5C%22xDamsCineLuce%5C%22%22%7D%7D&activeFilter=archiveType_string,https://patrimonio.archivioluce.com/luce-web/detail/IL3000095311/34/-122155.html?startPage=0,ok,200,1,1,Ficha pública do catálogo cinematográfico Luce verificada.,
Cinecittà - Archivio Luce,cinecitt-archivio-luce,Italy,Europe,IT-CINECITTA-LUCE,Historical film and audiovisual archive,https://www.archivioluce.com/,True,True,https://patrimonio.archivioluce.com/luce-web/search/result.html?query=&jsonVal=%7B%22jsonVal%22%3A%7B%22startDate%22%3A%22%22%2C%22endDate%22%3A%22%22%2C%22fieldDate%22%3A%22dataNormal%22%2C%22_perPage%22%3A20%2C%22archiveType_string%22%3A%22%5C%22xDamsCineLuce%5C%22%22%7D%7D&activeFilter=archiveType_string,https://patrimonio.archivioluce.com/luce-web/detail/IL3000095532/34/immagini-tratte-dai-filmati-luca-comerio-sulla-guerra-italo-turca-1911-1912.html?startPage=0,ok,200,1,1,Ficha pública do catálogo cinematográfico Luce verificada.,
Cinecittà - Archivio Luce,cinecitt-archivio-luce,Italy,Europe,IT-CINECITTA-LUCE,Historical film and audiovisual archive,https://www.archivioluce.com/,True,True,https://patrimonio.archivioluce.com/luce-web/search/result.html?query=&jsonVal=%7B%22jsonVal%22%3A%7B%22startDate%22%3A%22%22%2C%22endDate%22%3A%22%22%2C%22fieldDate%22%3A%22dataNormal%22%2C%22_perPage%22%3A20%2C%22archiveType_string%22%3A%22%5C%22xDamsCineLuce%5C%22%22%7D%7D&activeFilter=archiveType_string,https://patrimonio.archivioluce.com/luce-web/detail/IL3000095515/34/-122203.html?startPage=0,ok,200,1,1,Ficha pública do catálogo cinematográfico Luce verificada.,
Cinecittà - Archivio Luce,cinecitt-archivio-luce,Italy,Europe,IT-CINECITTA-LUCE,Historical film and audiovisual archive,https://www.archivioluce.com/,True,True,https://patrimonio.archivioluce.com/luce-web/search/result.html?query=&jsonVal=%7B%22jsonVal%22%3A%7B%22startDate%22%3A%22%22%2C%22endDate%22%3A%22%22%2C%22fieldDate%22%3A%22dataNormal%22%2C%22_perPage%22%3A20%2C%22archiveType_string%22%3A%22%5C%22xDamsCineLuce%5C%22%22%7D%7D&activeFilter=archiveType_string,https://patrimonio.archivioluce.com/luce-web/detail/IL3000095512/34/-122200.html?startPage=0,ok,200,1,1,Ficha pública do catálogo cinematográfico Luce verificada.,
Cinecittà - Archivio Luce,cinecitt-archivio-luce,Italy,Europe,IT-CINECITTA-LUCE,Historical film and audiovisual archive,https://www.archivioluce.com/,True,True,https://patrimonio.archivioluce.com/luce-web/search/result.html?query=&jsonVal=%7B%22jsonVal%22%3A%7B%22startDate%22%3A%22%22%2C%22endDate%22%3A%22%22%2C%22fieldDate%22%3A%22dataNormal%22%2C%22_perPage%22%3A20%2C%22archiveType_string%22%3A%22%5C%22xDamsCineLuce%5C%22%22%7D%7D&activeFilter=archiveType_string,https://patrimonio.archivioluce.com/luce-web/detail/IL3000095513/34/-122201.html?startPage=0,ok,200,1,1,Ficha pública do catálogo cinematográfico Luce verificada.,
Cinecittà - Archivio Luce,cinecitt-archivio-luce,Italy,Europe,IT-CINECITTA-LUCE,Historical film and audiovisual archive,https://www.archivioluce.com/,True,True,https://patrimonio.archivioluce.com/luce-web/search/result.html?query=&jsonVal=%7B%22jsonVal%22%3A%7B%22startDate%22%3A%22%22%2C%22endDate%22%3A%22%22%2C%22fieldDate%22%3A%22dataNormal%22%2C%22_perPage%22%3A20%2C%22archiveType_string%22%3A%22%5C%22xDamsCineLuce%5C%22%22%7D%7D&activeFilter=archiveType_string,https://patrimonio.archivioluce.com/luce-web/detail/IL3000095531/34/-122211.html?startPage=0,ok,200,1,1,Ficha pública do catálogo cinematográfico Luce verificada.,
Cinecittà - Archivio Luce,cinecitt-archivio-luce,Italy,Europe,IT-CINECITTA-LUCE,Historical film and audiovisual archive,https://www.archivioluce.com/,True,True,https://patrimonio.archivioluce.com/luce-web/search/result.html?query=&jsonVal=%7B%22jsonVal%22%3A%7B%22startDate%22%3A%22%22%2C%22endDate%22%3A%22%22%2C%22fieldDate%22%3A%22dataNormal%22%2C%22_perPage%22%3A20%2C%22archiveType_string%22%3A%22%5C%22xDamsCineLuce%5C%22%22%7D%7D&activeFilter=archiveType_string,https://patrimonio.archivioluce.com/luce-web/detail/IL5000052652/2/il-fronte-italiano-200-cbs-35.html?startPage=0,ok,200,1,1,Ficha pública do catálogo cinematográfico Luce verificada.,
Cinecittà - Archivio Luce,cinecitt-archivio-luce,Italy,Europe,IT-CINECITTA-LUCE,Historical film and audiovisual archive,https://www.archivioluce.com/,True,True,https://patrimonio.archivioluce.com/luce-web/search/result.html?query=&jsonVal=%7B%22jsonVal%22%3A%7B%22startDate%22%3A%22%22%2C%22endDate%22%3A%22%22%2C%22fieldDate%22%3A%22dataNormal%22%2C%22_perPage%22%3A20%2C%22archiveType_string%22%3A%22%5C%22xDamsCineLuce%5C%22%22%7D%7D&activeFilter=archiveType_string,https://patrimonio.archivioluce.com/luce-web/detail/IL5000052667/2/il-fronte-italiano-200-cbs-357.html?startPage=0,ok,200,1,1,Ficha pública do catálogo cinematográfico Luce verificada.,
Cinecittà - Archivio Luce,cinecitt-archivio-luce,Italy,Europe,IT-CINECITTA-LUCE,Historical film and audiovisual archive,https://www.archivioluce.com/,True,True,https://patrimonio.archivioluce.com/luce-web/search/result.html?query=&jsonVal=%7B%22jsonVal%22%3A%7B%22startDate%22%3A%22%22%2C%22endDate%22%3A%22%22%2C%22fieldDate%22%3A%22dataNormal%22%2C%22_perPage%22%3A20%2C%22archiveType_string%22%3A%22%5C%22xDamsCineLuce%5C%22%22%7D%7D&activeFilter=archiveType_string,https://patrimonio.archivioluce.com/luce-web/detail/IL5000052628/2/il-kaiser-tedesco-e-prima-guerra-mondiale-111-h-1102.html?startPage=0,ok,200,1,1,Ficha pública do catálogo cinematográfico Luce verificada.,
Cinecittà - Archivio Luce,cinecitt-archivio-luce,Italy,Europe,IT-CINECITTA-LUCE,Historical film and audiovisual archive,https://www.archivioluce.com/,True,True,https://patrimonio.archivioluce.com/luce-web/search/result.html?query=&jsonVal=%7B%22jsonVal%22%3A%7B%22startDate%22%3A%22%22%2C%22endDate%22%3A%22%22%2C%22fieldDate%22%3A%22dataNormal%22%2C%22_perPage%22%3A20%2C%22archiveType_string%22%3A%22%5C%22xDamsCineLuce%5C%22%22%7D%7D&activeFilter=archiveType_string,https://patrimonio.archivioluce.com/luce-web/detail/IL3000095359/34/-122160.html?startPage=0,ok,200,1,1,Ficha pública do catálogo cinematográfico Luce verificada.,
