institution,slug,country,continent,repository_code,archive_type,aqshf_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,https://aqshf.gov.al/wp-json/wp/v2/motion_picture?per_page=100&page=11&_fields=id%2Cdate%2Cmodified%2Cslug%2Ctitle%2Clink%2Ccontent%2Cexcerpt,ok,200,100,0,Página 11 de 28 do endpoint WordPress público `motion_picture`.,
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,https://aqshf.gov.al/wp-json/wp/v2/motion_picture?per_page=100&page=12&_fields=id%2Cdate%2Cmodified%2Cslug%2Ctitle%2Clink%2Ccontent%2Cexcerpt,ok,200,100,0,Página 12 de 28 do endpoint WordPress público `motion_picture`.,
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,https://aqshf.gov.al/wp-json/wp/v2/motion_picture?per_page=100&page=13&_fields=id%2Cdate%2Cmodified%2Cslug%2Ctitle%2Clink%2Ccontent%2Cexcerpt,ok,200,100,0,Página 13 de 28 do endpoint WordPress público `motion_picture`.,
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,https://aqshf.gov.al/wp-json/wp/v2/motion_picture?per_page=100&page=14&_fields=id%2Cdate%2Cmodified%2Cslug%2Ctitle%2Clink%2Ccontent%2Cexcerpt,ok,200,100,0,Página 14 de 28 do endpoint WordPress público `motion_picture`.,
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,https://aqshf.gov.al/wp-json/wp/v2/motion_picture?per_page=100&page=15&_fields=id%2Cdate%2Cmodified%2Cslug%2Ctitle%2Clink%2Ccontent%2Cexcerpt,ok,200,100,0,Página 15 de 28 do endpoint WordPress público `motion_picture`.,
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,https://aqshf.gov.al/wp-json/wp/v2/motion_picture?per_page=100&page=16&_fields=id%2Cdate%2Cmodified%2Cslug%2Ctitle%2Clink%2Ccontent%2Cexcerpt,ok,200,100,0,Página 16 de 28 do endpoint WordPress público `motion_picture`.,
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,https://aqshf.gov.al/wp-json/wp/v2/motion_picture?per_page=100&page=17&_fields=id%2Cdate%2Cmodified%2Cslug%2Ctitle%2Clink%2Ccontent%2Cexcerpt,ok,200,100,0,Página 17 de 28 do endpoint WordPress público `motion_picture`.,
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,https://aqshf.gov.al/wp-json/wp/v2/motion_picture?per_page=100&page=18&_fields=id%2Cdate%2Cmodified%2Cslug%2Ctitle%2Clink%2Ccontent%2Cexcerpt,ok,200,100,0,Página 18 de 28 do endpoint WordPress público `motion_picture`.,
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,https://aqshf.gov.al/wp-json/wp/v2/motion_picture?per_page=100&page=19&_fields=id%2Cdate%2Cmodified%2Cslug%2Ctitle%2Clink%2Ccontent%2Cexcerpt,ok,200,100,0,Página 19 de 28 do endpoint WordPress público `motion_picture`.,
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,https://aqshf.gov.al/wp-json/wp/v2/motion_picture?per_page=100&page=20&_fields=id%2Cdate%2Cmodified%2Cslug%2Ctitle%2Clink%2Ccontent%2Cexcerpt,ok,200,100,0,Página 20 de 28 do endpoint WordPress público `motion_picture`.,
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,https://aqshf.gov.al/wp-json/wp/v2/motion_picture?per_page=100&page=21&_fields=id%2Cdate%2Cmodified%2Cslug%2Ctitle%2Clink%2Ccontent%2Cexcerpt,ok,200,100,0,Página 21 de 28 do endpoint WordPress público `motion_picture`.,
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,https://aqshf.gov.al/wp-json/wp/v2/motion_picture?per_page=100&page=22&_fields=id%2Cdate%2Cmodified%2Cslug%2Ctitle%2Clink%2Ccontent%2Cexcerpt,ok,200,100,0,Página 22 de 28 do endpoint WordPress público `motion_picture`.,
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,https://aqshf.gov.al/wp-json/wp/v2/motion_picture?per_page=100&page=23&_fields=id%2Cdate%2Cmodified%2Cslug%2Ctitle%2Clink%2Ccontent%2Cexcerpt,ok,200,100,0,Página 23 de 28 do endpoint WordPress público `motion_picture`.,
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,https://aqshf.gov.al/wp-json/wp/v2/motion_picture?per_page=100&page=24&_fields=id%2Cdate%2Cmodified%2Cslug%2Ctitle%2Clink%2Ccontent%2Cexcerpt,ok,200,100,0,Página 24 de 28 do endpoint WordPress público `motion_picture`.,
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,https://aqshf.gov.al/wp-json/wp/v2/motion_picture?per_page=100&page=25&_fields=id%2Cdate%2Cmodified%2Cslug%2Ctitle%2Clink%2Ccontent%2Cexcerpt,ok,200,100,0,Página 25 de 28 do endpoint WordPress público `motion_picture`.,
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,https://aqshf.gov.al/wp-json/wp/v2/motion_picture?per_page=100&page=26&_fields=id%2Cdate%2Cmodified%2Cslug%2Ctitle%2Clink%2Ccontent%2Cexcerpt,ok,200,100,0,Página 26 de 28 do endpoint WordPress público `motion_picture`.,
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,https://aqshf.gov.al/wp-json/wp/v2/motion_picture?per_page=100&page=27&_fields=id%2Cdate%2Cmodified%2Cslug%2Ctitle%2Clink%2Ccontent%2Cexcerpt,ok,200,100,0,Página 27 de 28 do endpoint WordPress público `motion_picture`.,
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,https://aqshf.gov.al/wp-json/wp/v2/motion_picture?per_page=100&page=28&_fields=id%2Cdate%2Cmodified%2Cslug%2Ctitle%2Clink%2Ccontent%2Cexcerpt,ok,200,36,0,Página 28 de 28 do endpoint WordPress público `motion_picture`.,
