institution,slug,country,continent,repository_code,archive_type,cinematek_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Cinémathèque royale de Belgique / CINEMATEK,cin-math-que-royale-de-belgique-cinematek,Belgium,Europe,BE-CINEMATEK,National cinematheque and external streaming access routes,https://cinematek.be/en/collections/film,True,True,https://cinematek.be/en/collections/be-film,https://cinematek.be/en/,ok,200,0,0,Site institucional da Cinémathèque royale de Belgique / CINEMATEK.,
Cinémathèque royale de Belgique / CINEMATEK,cin-math-que-royale-de-belgique-cinematek,Belgium,Europe,BE-CINEMATEK,National cinematheque and external streaming access routes,https://cinematek.be/en/collections/film,True,True,https://cinematek.be/en/collections/be-film,https://cinematek.be/en/collections/film,ok,200,0,0,"Página oficial de coleções fílmicas; distingue acervo, pesquisa e acesso sob demanda.",
Cinémathèque royale de Belgique / CINEMATEK,cin-math-que-royale-de-belgique-cinematek,Belgium,Europe,BE-CINEMATEK,National cinematheque and external streaming access routes,https://cinematek.be/en/collections/film,True,True,https://cinematek.be/en/collections/be-film,https://cinematek.be/en/collections/be-film,ok,200,20,0,Rota pública CINEMATEK@HOME; lista filmes restaurados em plataformas externas.,
