institution,slug,country,continent,repository_code,archive_type,archipop_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-mariage-8-juillet-1950-570-2557-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-louveteaux-scoutisme-570-3530-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-any-martin-rieux-570-2160-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-gymkhana-somain-1953-570-5160-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-cine-club-aix-en-issart-montreuil-valenciennes-floralies-1962-570-2542-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-plaine-la-570-123-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-reconstitution-d-une-maison-en-bois-et-fouilles-archeologiques-a-saint-maur-60-570-11452-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-camp-du-foyer-rural-d-oulchy-dans-le-jura-570-12849-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-depart-des-enfants-pour-la-colonie-570-3690-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-vacances-juillet-85-etc.-570-12723-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-gloire-a-marie-ii-forge-caloin-etaples-album-famille-570-2013-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-moreau-ferrant-un-cheval-forgeron-570-7708-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-rieulay-1958-570-4359-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-chien-tortue-570-1449-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-separation-et-par-machine-detail-gros-plan-570-7810-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-reste-film-montage-tubes-570-7802-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-inauguration-de-la-nouvelle-dechetterie-570-32-3-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-hopital-bouville-visite-et-sortie-570-1178-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-evenements-familiaux-1-moisson-lieuse-chevaux-de-trait-moutons-570-10-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-atelier-dessin-a-montataire-partie-1-570-5128-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-petite-reine-en-fete-570-7543-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-funerailles-de-l-adjudant-derly-570-1697-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-debut-1952-demenagement-570-12349-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-promenade-a-velomoteur-depuis-la-rue-raspail-vers-le-quartier-d-europe-570-12614-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-meeting-aerien-a-glisy-avec-marcel-doret-aviateur-570-3450-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-cultura-omnibus-570-5351-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-bapteme-huguette-caignard-5-juin-1927-570-519-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-excursion-guilleminot-et-bal-de-l-amicale-570-158-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-crepy-en-valois-3-570-805-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-cerises-st-martin-cowboy-etaples-ostende-bagatelle...-570-4425-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-maison-st-remy-sylviane-coline-mme-henriette-de-beaurainville-printemps-81-570-1530-1-0.html,erro,,0,0,,429 Client Error: Too Many Requests for url: https://lesfilms.archipop.org/les-films-maison-st-remy-sylviane-coline-mme-henriette-de-beaurainville-printemps-81-570-1530-1-0.html
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-voyage-scolaire-1974-premiere-partie-570-5475-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-animation-ii-metamorphoses-l-echelle-peche-cow-boy-570-6348-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-onival-570-4169-1-0.html,erro,,0,0,,429 Client Error: Too Many Requests for url: https://lesfilms.archipop.org/les-films-onival-570-4169-1-0.html
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-pompon-rouge-et-harengs-saurs-pecheries-delpierre-570-1466-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-restauration-en-1986-du-guerrier-de-saint-maur-60-promenade-a-saint-maur-et-fouilles-archeologiques-d-estrees-saint-denis-60-570-11459-1-0.html,erro,,0,0,,429 Client Error: Too Many Requests for url: https://lesfilms.archipop.org/les-films-restauration-en-1986-du-guerrier-de-saint-maur-60-promenade-a-saint-maur-et-fouilles-archeologiques-d-estrees-saint-denis-60-570-11459-1-0.html
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-crotoy-le-peche-a-pied-570-2105-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-sortie-d-usine-570-57-3-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-mariage-jeu-d-enfants-chasseurs-biarritz-570-686-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-course-des-midinettes-570-530-1-0.html,erro,,0,0,,429 Client Error: Too Many Requests for url: https://lesfilms.archipop.org/les-films-course-des-midinettes-570-530-1-0.html
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-correspondante-la-570-3389-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-hiver-port-le-grand-neige-570-3638-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-fete-du-certificat-d-etudes-et-voyage-a-paris-fete-scolaire-et-gymnique-gpf-1967-570-2995-1-0.html,erro,,0,0,,429 Client Error: Too Many Requests for url: https://lesfilms.archipop.org/les-films-fete-du-certificat-d-etudes-et-voyage-a-paris-fete-scolaire-et-gymnique-gpf-1967-570-2995-1-0.html
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-fouilles-archeologiques-de-lille-59-570-11477-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-athletisme-a-abbeville-570-1900-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-mariages-le-crotoy-casino-chauny-la-gare-570-4045-1-0.html,erro,,0,0,,429 Client Error: Too Many Requests for url: https://lesfilms.archipop.org/les-films-mariages-le-crotoy-casino-chauny-la-gare-570-4045-1-0.html
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-moto-cross-le-26-avril-1953-a-belleu-570-164-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,https://lesfilms.archipop.org/les-films-ceremonie-militaire-procession-tribunal-570-4008-1-0.html,ok,200,1,1,"Ficha pública de filme com metadados e, quando disponível, player incorporado.",
