institution,slug,country,continent,repository_code,archive_type,archipop_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,Archipop,https://lesfilms.archipop.org/les-films-animation-ii-metamorphoses-l-echelle-peche-cow-boy-570-6348-1-0.html,"Animation II - Métamorphoses, L'échelle, Pêche, Cow-boy",Alcool Atelier Automobile Banc public Ciel Épuisette Marionnettes Parc Peinture (art) Plage,"registro ARCHIPOP 6348 | player incorporado: https://diazarchipop.oembed.diazinteregio.org/embed/0440_0449/0441FI0042?feature=oembed | duração: 00:16:11 | formato: Film super 8 | som: Muet | coleção: Michel CARON | Charles Debray, enseignant à l’École des Beaux-Arts de l’Abbevillois, anime un atelier d’arts plastiques au sein duquel les élèves réalisent des films d’animation et de fiction. La caméra appartient à Jean Caron, cinéaste amateur abbevillois, dont le fils, Benoît, est membre de l’atelier. Benoît Caron est généralement à la caméra ou à l'éclairage. Pierre Verdez, futur réalisateur professionnel, également présent, se prête volontiers au jeu d’acteur, endossant le rôle principal pour certaines fictions. Ce film restitue les expérimentations et créations des élèves. Il mêle animations et fictions. Plusieurs saynètes se succèdent, incluant de l'animation en stop-motion : Métamorp...",1979 à 1981
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,Archipop,https://lesfilms.archipop.org/les-films-correspondante-la-570-3389-1-0.html,Correspondante (La),Baignade Bicyclette Fromage Haute-Normandie Mer Parc de loisirs Pique-nique Plage Supermarché,"registro ARCHIPOP 3389 | player incorporado: https://diazarchipop.oembed.diazinteregio.org/embed/0340_0349/0343FI0008?feature=oembed | duração: 00:13:16 | formato: Film super 8 | som: Muet | coleção: Claude LESUEUR | La correspondante allemande de la fille du cinéaste est en visite en France. Les deux jeunes filles passent du temps ensemble : pique-nique (mangent du camembert Président), vont parc d'attraction La Mer de sable, se baladent à vélo, jouent à la pétanque, vont à la plage du Tréport et se baignent, pêchent à pieds, mangent une tarte aux prunes, font des courses avec un cadis au supermarché Carrefour...",1976 environ
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,Archipop,https://lesfilms.archipop.org/les-films-voyage-scolaire-1974-premiere-partie-570-5475-1-0.html,Voyage scolaire 1974 - première partie,Automobile Mairie Monument commémoratif Musée Voiture à cheval,"registro ARCHIPOP 5475 | player incorporado: https://diazarchipop.oembed.diazinteregio.org/embed/0610-0619/0618FH0013?feature=oembed | duração: 00:04:34 | formato: Film 8 mm | som: Muet | Des élèves de l'école primaire Roosevelt de Tergnier font un voyage scolaire sur quelques sites de la région picarde : Compiègne (hôtel de ville, Palais, Musée national de la voiture), Musée de la Rotonde, château de Pierrefonds...",1974
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,Archipop,https://lesfilms.archipop.org/les-films-promenade-a-velomoteur-depuis-la-rue-raspail-vers-le-quartier-d-europe-570-12614-1-0.html,Promenade à vélomoteur depuis la rue Raspail vers le quartier d'Europe,Automobile Centre ville Mobylette Rue,"registro ARCHIPOP 12614 | player incorporado: https://diazarchipop.oembed.diazinteregio.org/embed/0880_0889/0885FI0001?feature=oembed | duração: 00:02:19 | formato: Film super 8 | som: Muet | coleção: Francis CREPIN | Traversée de Saint-Quentin en cyclomoteur (mobylette) : Caméra embarquée depuis la rue Raspail vers le quartier Europe de Saint-Quentin, vues des quartiers, grues, immeubles, maisons individuelles. La caméra est fixée sur la fourche du vélomoteur.",1971 environ
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,Archipop,https://lesfilms.archipop.org/les-films-valenciennes-le-1er-fevrier-1967-570-2927-1-0.html,"Valenciennes, le 1er Février 1967",Automobile Confédération Générale du Travail Manifestation Nuit Ouvrier Parking Parti Communiste,"registro ARCHIPOP 2927 | player incorporado: https://diazarchipop.oembed.diazinteregio.org/embed/0450_0459/0453FH0018?feature=oembed | duração: 00:04:08 | formato: Film 8 mm | som: Muet | coleção: CINÉ-ARCHIVES | ""Le 1er février 1967 a lieu à travers le pays une grève générale de 24h à l'appel de la CGT, de la CFDT et de la FEN (Fédération de l’Éducation Nationale), dans un contexte de raidissement du pouvoir gaulliste. Le cinéaste amateur Pierre Charret filme la manifestation qui a lieu ce jour-là à Valenciennes."" Ciné-Archives Le cortège traverse la ville sous la pluie et porte ces banderoles : ""CGT, Fives, Lille Cail, Denain, Chassons le pouvoir des banquiers et des Trusts"" ""CGT, Du travail pour tous les jeunes"" ""Syndicat CGT, Usinor - Trith"", ""Nos salaires"", ""Nous voulons un emploi qui dure"" ""Retraite à 60 ans"", ""Non aux licenciements"", ""Les métalliers de Raismes, Contre tous les li...",1967
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,Archipop,https://lesfilms.archipop.org/les-films-camp-du-foyer-rural-d-oulchy-dans-le-jura-570-12849-1-0.html,Camp du Foyer rural d'Oulchy dans le Jura,Camping Colonie de vacances Danse (spectacle) Jeu Jeunesse Jura Préparation du repas Toilette Vaisselle,"registro ARCHIPOP 12849 | player incorporado: https://diazarchipop.oembed.diazinteregio.org/embed/0850_0859/0859FH0012?feature=oembed | duração: 00:17:45 | formato: Film 8 mm | som: Muet | coleção: Dominique GANDON | Camp du Foyer rural d'Oulchy-le-Château à Bellefontaine dans le Jura. Visionnage : sur un terrain, camping, toiles de tentes, personnes et jeunes rassemblés autour d'un repas, religieux, les jeunes font la vaisselle / des personnes marchent sur un chemin, religieuse et curé / paysage vallonné, des jeunes sautent d'un toboggan (il flotte sur l'eau) dans un pan d'eau / des enfants escaladent une structure métallique / campement, les jeunes sortent des tentes (réveil ?), les jeunes filles font leur toilettes / les jeunes filles rassemblées en rond font la prière puis déjeunent assises au sol / panorama du campement avec les toiles de tentes et du paysage arboré et vallonné / l...",1966
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,Archipop,https://lesfilms.archipop.org/les-films-fete-ducasse-a-pierrots-vie-rurale-sortie-d-usine-manifestaion-ouvriere-570-2912-1-0.html,"Fête ""Ducasse à Pierrots"", vie rurale, sortie d'usine, manifestaion ouvrière",Bataille de boules de neige Circulation routière Coiffeur Fête Manifestation Ouvrier Paysage rural Repas Usine (bâtiment),"registro ARCHIPOP 2912 | player incorporado: https://diazarchipop.oembed.diazinteregio.org/embed/0450_0459/0453FH0002?feature=oembed | duração: 00:05:59 | formato: Film 8 mm | som: Muet | coleção: CINÉ-ARCHIVES | Bobine constituée de diverses séquences : 1. ""Ducasse à pierrots"" organisée par la section du PCF de Wasquehal en 1966 (jusqu'à 2'20) Une version sonore et plus compète existe (cf 0453FH0010). La fête a lieu dans un bistrot pour pouvoir accueillir les nombreux convives. 2. Périphérie de Lille, circulation routière (à 2'22) 3. Village (à 2'42) 4. Devant l'Usine ""International Harvester France, Ficellerie"" à Croix : sortie d'usine, ouvriers à vélo, ouvrières à pieds, ouvriers en mobylettes... (à 3'34) 5. Chez le coiffeur, un homme se fait faire une coupe (à 4'20) 6. Vues du village (bâtiment, rue, garçons à vélo) (à4'31) 7. ""Stade Léo Lagrange"" (à 4'56) : Bataille de boules de ne...",1966
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,Archipop,https://lesfilms.archipop.org/les-films-plaine-la-570-123-1-0.html,Plaine (La),Agriculteur Agriculture Bétonnisation Champ cultivé Remembrement,"registro ARCHIPOP 123 | player incorporado: https://diazarchipop.oembed.diazinteregio.org/embed/0001_0009/0003FS0006?feature=oembed | duração: 00:26:57 | formato: Film 16 mm | som: Sonore | coleção: Robert LEMAIRE | Documentaire sur les agriculteurs du Beauvaisis. Les agriculteurs ont la parole et exposent leur situation, leur travail, leur choix. L'avenir de l'agriculture les inquiète et ils apportent leur témoignage, leur vision et parlent des difficultés qu'ils rencontrent. ""La Plaine"" c'est la terre cultivée. Ici deux types d'exploitation s'opposent : Celle de M. Levieil, 27 ans : une petite exploitation à Marissel qu'il exploite avec son frère. Ils rencontrent le problème de l'extension de la ville proche. Celle de M. Rabourdin, propriétaire exploitant à Bresles, président de la coopérative, il gère 230 hectares. Robert Lemaire, professeur et agrégé d'histoire, accompagne cette réa...",1966
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,Archipop,https://lesfilms.archipop.org/les-films-cultura-omnibus-570-5351-1-0.html,Cultura omnibus,Accordéon Autocar Bal Champ cultivé Danse de salon Déguisement Gare ferroviaire Moulin à vent Repas de fête Restaurant Touriste Train Vache Visite guidée,"registro ARCHIPOP 5351 | player incorporado: https://diazarchipop.oembed.diazinteregio.org/embed/0590-0599/0590FS0006_sonore?feature=oembed | duração: 00:14:55 | formato: Film 16 mm | som: Muet sonorisé | coleção: Jean LEJARRE | Un groupe de touristes suit un guide bien particulier pour une visite surprenante. La visite guidée est agrémentée de commentaires loufoques, parodiant les discours que l'on peut entendre lors d'une visite touristique ou historique. Le guide porte un faux nez, une casquette ""Cultura omnibus"" et s'adresse au groupe avec un mégaphone. Le départ a lieu sur le quai d'une gare. Le groupe traverse divers lieux indéterminés, passant d'une rue en ville, à un champ de vaches, un château, un chevalement, des champs cultivés, un bord de canal, un moulin à vent. Le groupe voyage en autocar. La musique accompagne les images entre deux prises de paroles, puis devient omniprés...",1962
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,Archipop,https://lesfilms.archipop.org/les-films-cine-club-aix-en-issart-montreuil-valenciennes-floralies-1962-570-2542-1-0.html,"Ciné club, Aix en Issart - Montreuil - Valenciennes Floralies 1962",Fleur Horticulture,registro ARCHIPOP 2542 | player incorporado: https://diazarchipop.oembed.diazinteregio.org/embed/0250_0259/0259FH0018?feature=oembed | duração: 00:17:21 | formato: Film 8 mm | som: Muet | coleção: Bernard et Annick SAGOT | Le film retrace l'escapade de la réalisatrice avec le photo-ciné-club de Berck à Aix en Issart. Elle réalise des séquences aux Floralies de Valenciennes. Les fleurs sont particulièrement présentes dans les films de Mlle Tondeur.,1961 à 1962
