tema,tipo_institucional,total
Esporte e cultura física,Film archive with public multimedia collection,92
Patrimônio cinematográfico regional,Film archive with public multimedia collection,22
"Cotidiano, território e memória local",Film archive with public multimedia collection,21
Preservação e conservação,Film archive with public multimedia collection,7
"Guerra, memória política e história",Film archive with public multimedia collection,6
Cinema basco e memória cultural,Film archive with public multimedia collection,1
