tema,pais,total
Comunicação institucional,France,19
Visita e descoberta do arquivo,France,17
Apresentação institucional,France,5
Formação e mediação,France,5
Coleções e serviços,France,4
Exposições e eventos,France,4
Preservação e conservação,France,2
Acervo e patrimônio,France,1
"Memória, narrativa e testemunho",France,1
