institution,slug,country,continent,repository_code,archive_type,aqshf_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at,video_title_display,video_date_display,video_theme,access_surface
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,AQSHF,https://aqshf.gov.al/motion_picture/brigada-e-16-te-sulmuese/,Brigada e 16-te sulmuese,Documentaries,"Registro descritivo público do catálogo Motion Pictures do AQSHF; ficha audiovisual sem pressupor player aberto ou download de mídia. | código de referência: I/2-541 | direção: Marjanthi Xhako | câmera: Niko Theodhosi | duração: 9,8 min | local: Shqiperi | produtor: Kinostudio “Shqiperia e re” | Kodi i referencës I/2-541 Titulli Brigada e 16-te sulmuese Sinopsi Dora qe kap librin. Grup ish partizan. Qiell me re. Lugina ish partizanet takohen bisedojne….",1974,Brigada e 16-te sulmuese,1974-01-01,Documentário e registro histórico,Catálogo descritivo audiovisual institucional
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,AQSHF,https://aqshf.gov.al/motion_picture/brigada-e-19-te-sulmuese/,Brigada e 19-te sulmuese,Documentaries,Registro descritivo público do catálogo Motion Pictures do AQSHF; ficha audiovisual sem pressupor player aberto ou download de mídia. | código de referência: I/2-697 | direção: Gezim Erebara | câmera: Jovan Kondakci | duração: 9.76 | local: Shqiperi | produtor: Kinostudio”Shiperia e Re” | Kodi i referencës I/2-697 Titulli Brigada e 19-te sulmuese Sinopsi Festa e 30-vjetorit te brigades se 19-te Sulmuese. Pamje e pergjithshme e Sarandes. Populli qe…,1974,Brigada e 19-te sulmuese,1974-01-01,Documentário e registro histórico,Catálogo descritivo audiovisual institucional
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,AQSHF,https://aqshf.gov.al/motion_picture/brigada-e-24-te-sulmuese/,Brigada e 24-te sulmuese,Documentaries,Registro descritivo público do catálogo Motion Pictures do AQSHF; ficha audiovisual sem pressupor player aberto ou download de mídia. | código de referência: I/2-570 | direção: Esat Ibro | câmera: Jovan Kondakci Pashko Como | local: Shqiperi | produtor: Kinostudio “Shqiperia e re” | Kodi i referencës I/2-570 Titulli Brigada e 24-te sulmuese Sinopsi Harta e Shqiperise. Me fotografi jepet varferia e fshatarit. Foto partizanesh. Femijet duke keputur lule….,1974,Brigada e 24-te sulmuese,1974-01-01,Documentário e registro histórico,Catálogo descritivo audiovisual institucional
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,AQSHF,https://aqshf.gov.al/motion_picture/brigada-e-25-sulmuese/,Brigada e 25 Sulmuese,Documentaries,"Registro descritivo público do catálogo Motion Pictures do AQSHF; ficha audiovisual sem pressupor player aberto ou download de mídia. | código de referência: I/2-625 | direção: Xhanfize Keko | câmera: Ilia Terpini | duração: 9 | local: Shqiperi | produtor: Kinostudio “Shqiperia e re” | Kodi i referencës I/2-625 Titulli Brigada e 25 Sulmuese Sinopsi Panorame malesh me debore. Fotografi e Shote Galices, AsimVokshit. Nje ndertese nga afer, ferengjite e…",1974,Brigada e 25 Sulmuese,1974-01-01,Documentário e registro histórico,Catálogo descritivo audiovisual institucional
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,AQSHF,https://aqshf.gov.al/motion_picture/brigada-e-vii-te-e-vegjelise/,Brigada e VII-te e vegjelise,Documentaries,"Registro descritivo público do catálogo Motion Pictures do AQSHF; ficha audiovisual sem pressupor player aberto ou download de mídia. | código de referência: I/2-522 | direção: Esat Mysliu | câmera: Ilia Terpini Jovan Kondakci | duração: 8,8 min | local: Shqiperi | produtor: Kinostudio “Shqiperia e re” | Kodi i referencës I/2-522 Titulli Brigada e VII-te e vegjelise Sinopsi Ish partizanet hyjne ne Berat. Midis tyre Ramiz Alia, Adil Carcani, Ish partizanet ne…",1974,Brigada e VII-te e vegjelise,1974-01-01,Documentário e registro histórico,Catálogo descritivo audiovisual institucional
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,AQSHF,https://aqshf.gov.al/motion_picture/brigada-e-xx-te-para-partizane/,Brigada e XX-te “Para partizane”.,Documentaries,Registro descritivo público do catálogo Motion Pictures do AQSHF; ficha audiovisual sem pressupor player aberto ou download de mídia. | código de referência: I/2-544 | direção: Kristaq Mitro | câmera: Rakip Zeneli Agim Fortuzi | duração: 8.21 min | local: Shqiperi | produtor: Kinostudio “Shqiperia e re” | Kodi i referencës I/2-544 Titulli Brigada e XX-te “Para partizane”. Sinopsi Fotografi te brigades. Urdher i shtabit te prgjithshem. Fotografi e shokut Enver. Foto e…,1974,Brigada e XX-te “Para partizane”.,1974-01-01,Documentário e registro histórico,Catálogo descritivo audiovisual institucional
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,AQSHF,https://aqshf.gov.al/motion_picture/ceremonia-e-varrimit-te-eshtrave-ne-token-meme-1974/,"Ceremonia e varrimit te eshtrave te shtate shqiptareve viktima te aksidentit ajror, 1974",Xhirime arkivore bruto,"Registro descritivo público do catálogo Motion Pictures do AQSHF; ficha audiovisual sem pressupor player aberto ou download de mídia. | código de referência: IV/1-418 | duração: 2:30 | croma: Bardhe e zi | local: Shqiperi | produtor: Kinostudio “Shqiperia e re” | Materiali është pa zë | Ne 13 korrik te vitit 1963, nje avion i nisur nga Kina per Tirane, u rrezua ne afersi te qytetit Irkusk te Siberise, ne Bashkimin Sovjetik, dhe 32 pasagjeret dhe ekuipazhi mbeten te vdekur. Pjesa me e madhe e tyre ishin inxhiniere kineze qe vinin ne Shqiperi per te dhene ekspertize ne veprat industriale, ndersa 7 shqiptaret qe humben jeten ishin: Felek Malile bashke me dy femijet e saj, Miranda dhe Besnik Malile, poeti Drago Siliqi, Xhafer Bakllamaja, me gruan Nadire Bakllamaja dhe djalin e tyre te vogel, Agim Bakllamaja. Ne vitin 1974, 10 vite pas varrimit ne viktimave ne Kine, eshtrat e 7 shqiptareve sillen ne Shqiperi per t’u prehur ne token meme. Punonjes te kryeqytetit bejne homazhe. Duket arkivol...",1974,"Ceremonia e varrimit te eshtrave te shtate shqiptareve viktima te aksidentit ajror, 1974",1974-01-01,Documentário e registro histórico,Catálogo descritivo audiovisual institucional
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,AQSHF,https://aqshf.gov.al/motion_picture/cuca-e-maleve/,Cuca e maleve,Film artistik (balet),"Registro descritivo público do catálogo Motion Pictures do AQSHF; ficha audiovisual sem pressupor player aberto ou download de mídia. | código de referência: I/3-39 | direção: Dhimitër Anagnosti | duração: 85 min | croma: Me ngjyra | local: Shqipëri | produtor: Kinostudio “Shqipëria e re” | Diskutohet filmi “Cuca e maleve” ne mbledhjen e Keshillit Artistik 1973. Diskutojne Hysen Hakani, Marjanthi Xhako, Anastas Kondo, Vath Koreshi, Petraq Lubonja, Gezim Erebara, Dhimiter Xhuvani, Peci Dado, Azis Karalliu, Vangjush Zallemi, Agron Aliaj, Dhimiter Anagnosti. Filmi miratohet. Diskutohet filmi “Cuca e maleve” ne mbledhjen e Kolektivit Krijues ne Redaksi te dt. —-1973. Diskutojne Hamdi Ferhati, Shkelzen Shala, Sokrat Musha, Peci Dado, Llazi Knuti, Petraq Lubonja, Muharrem Fejzo, M. Fushekati, Teodor Siliqi, Kolec Traboini, Pashko Como, Gezim Erebara, Nexhmi Backa, Dhimiter Anagnosti, Vangjush Zallemi. Filmi miratohet. | Kodi i referencës I/3-39 Titulli Cuca e maleve Viti i prodhimit 1974 Vi...",1974,Cuca e maleve,1974-01-01,Ficção cinematográfica,Catálogo descritivo audiovisual institucional
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,AQSHF,https://aqshf.gov.al/motion_picture/dhenia-e-titujve-hero-i-popullit-hero-i-punes-socialiste/,"Dhenia e titujve “Hero i popullit”, “Hero i punes socialiste”, 1974",Xhirime arkivore bruto,"Registro descritivo público do catálogo Motion Pictures do AQSHF; ficha audiovisual sem pressupor player aberto ou download de mídia. | código de referência: IV/1-411 | duração: 6:22 | croma: Bardhe e zi | local: Shqiperi | produtor: Kinostudio “Shqiperia e re” | Materiali eshte pa audio. | Pjesemarresit duke duartrokitur. Spiro Mosiu duke folur. Vajza e Mine Ketes merr dekoraten takohet me Manush Myftiun, Shefqet Musarajin. Vellai i Memo Metos merr dekorate. Velllai i Jaho Gjolikut merr dekoraten. Manush Myftiu, Spiro Moisiu ndajne dekoratat. Katina Starja ndan dekoratat. Vellai i Memo Metos falenderon Partine. Dritero Agolli ndan cmimiet e konkursit letrar. Ramiz Alia takohet me te ftuarit. Ramiz Alia, Manush Myftiu, Dritero Agolli, Thoma Deljana, Nexhmije Hoxha, Fiqerete Shehu, Ismail Kadare, Adelina Mamaqi, Llazar Siliqi, Limoz Dizdari marin pjese ne ndarjen e cmimeve. Pamje nga salla. Fituesit e konkursit marrin cmimet. Duken ne salle dhe Nasho Jorgaqi e Muharrem Fejzo, Lejla, An...",1974,"Dhenia e titujve “Hero i popullit”, “Hero i punes socialiste”, 1974",1974-01-01,Documentário e registro histórico,Catálogo descritivo audiovisual institucional
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,AQSHF,https://aqshf.gov.al/motion_picture/dilni-nena-baballare-pritni-trimat-partizane/,"Dilni nena , baballare, pritni trimat partizane.",Documentaries,"Registro descritivo público do catálogo Motion Pictures do AQSHF; ficha audiovisual sem pressupor player aberto ou download de mídia. | código de referência: I/2-534 | direção: Ilo Pando | câmera: Pashko Como Petraq Lubonja | duração: 9,62 min | local: Shqiperi | produtor: Kinostudio “Shqiperia e re” | Kodi i referencës I/2-534 Titulli Dilni nena , baballare, pritni trimat partizane. Sinopsi Brigada e IX-te sulmuese. Flamur shiriti i inagurimit. Anetaret e brigades duke…",1974,"Dilni nena , baballare, pritni trimat partizane.",1974-01-01,Documentário e registro histórico,Catálogo descritivo audiovisual institucional
